Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
201133,f2855353-b37d-4ae3-9c1c-0621ce9d9f7d,,,,,,F,,C,2018-09-05 00:00:00,10,129,,3,,,,,,,,,,
209687,fc49c19c-879f-47c7-803a-d96b3f38ba39,,,,,,M,,C,2015-09-03 00:00:00,11,143,9,2,,,,,,4,,,,
176260,08918e3d-7934-4159-af3f-bfac58503405,,,,,,M,,C,2017-09-04 00:00:00,8,145,8,1,,,,,,,,,,
170885,d1d0cde0-7823-4847-8e2d-ee2a61a3b2a7,,,,,,M,,Leaver,2017-09-04 00:00:00,9,141,,2,,,,,,,,,,
125977,ee4dbdb0-026f-4638-9fd8-bce8ca6aee1e,,,,,,F,,Leaver,2017-09-04 00:00:00,7,93,,,,,,,,,,,,
217243,b1c51fc1-2072-4365-aaee-56b5a32b8d4f,,,,,,M,,C,2017-02-27 00:00:00,7,135,,1,,,,,,,,,,
185045,37ce42e2-bf5f-4027-b91f-f6c0c475321f,,,,,,M,,Leaver,2015-09-02 00:00:00,10,129,11,1,,,,,,,,,5,
189544,fab60051-464d-4505-8fd5-3c736f1405cb,,,,,,M,,C,2018-09-06 00:00:00,9,129,6,,,,,,,,,,,
213880,12a25d3a-3ed8-4f50-8d6b-37db82212eb9,,,,,,M,,C,2019-09-04 00:00:00,11,146,17,,,,,,,,,,,
120806,b0364c90-81c2-46bc-ae8f-92df937d821a,,,,,,M,,Leaver,2016-09-01 00:00:00,7,120,12,2,,,,,,,,,,
262177,22165886-f985-44f9-b265-d4b6df76548c,,,,,,M,,C,2019-09-04 00:00:00,8,144,2,,,,,,,3,,,,
224561,8e0f8e28-bdbd-4c7b-a0f4-e66bdba35363,,,,,,M,,C,2018-09-06 00:00:00,9,130,2,,,,,,,,,,,
184290,3d59d465-4209-44a9-98f0-841df1e69416,,,,,,M,,Leaver,2019-09-04 00:00:00,7,122,10,1,,,,,,,,,5,
202067,9e0d5a60-beb6-4f10-bcb5-6b46a53f358a,,,,,,F,,C,2018-09-25 00:00:00,Leaver,140,,,,,,,,4,,,,
111615,b160f68e-c861-4690-8a66-06349760e7f9,,,,,,F,,C,2017-09-04 00:00:00,8,119,,2,,,,,,,,,,
197175,d2feedce-a744-485b-94c3-85c23078c1ad,,,,,,M,,Leaver,2017-09-06 00:00:00,7,142,,,,,,,,,,,,
231179,3c6b6122-c38a-4520-85be-c96ea47e835c,,,,,,F,,C,2019-09-04 00:00:00,9,146,9,3,,,,,,3,,,5,
238766,509766cf-10ca-4259-9f54-cada9c01afc3,,,,,,F,,C,2017-09-18 00:00:00,8,139,5,,,,,,,,,,5,
161258,c53436f7-f713-4637-a56f-7778ae8c40d8,,,,,,M,,C,2019-09-04 00:00:00,11,133,,3,,,,,,,,,,
139113,300cc9c1-e61c-4adf-9da8-e6f3b8eeca4a,,,,,,F,,C,2016-09-01 00:00:00,11,119,7,,,,,,,,,,7,
217069,82c7aa41-b613-4771-8bca-c5b79e7629c0,,,,,,F,,C,2016-09-05 00:00:00,11,129,,,,,,,,,,,,
204388,a00a461c-b683-445f-8e55-dab38fbc16aa,,,,,,M,,C,2019-04-23 00:00:00,7,145,14,,,,,,,,,,,
164556,dac0f2f9-9c28-4f50-94b0-14e5e04d4e80,,,,,,M,,C,2016-09-05 00:00:00,8,123,6,1,,,,,,2,,,,
205885,ac5c2bff-2827-48c3-b977-156ef3c63e87,,,,,,F,,C,2019-09-23 00:00:00,10,145,13,,,,,,,,,,,
188707,e143772e-d895-4d03-b4fa-3d336845d274,,,,,,F,,C,2016-09-01 00:00:00,7,126,,,,,,,,4,,,6,
186128,51b06eef-d300-41b8-bd79-8c94c849a6c3,,,,,,M,,C,2017-09-06 00:00:00,Leaver,145,2,2,,,,,,,,,,
188170,9945354d-672c-44f9-b81c-43c29da69b37,,,,,,M,,C,2015-09-01 00:00:00,8,135,2,,,,,,,,,,3,
136733,5367685c-828f-4ffa-8319-46e98f29c00a,,,,,,F,,C,2015-09-01 00:00:00,12,134,,,,,,,,,,,,
211959,c7a98a19-50da-46ac-9d73-d1f9eb3c7dda,,,,,,F,,Leaver,2015-09-04 00:00:00,11,133,,,,,,,,,,,,
163639,27141a0b-a998-4ced-b6a3-c1310038cd02,,,,,,F,,C,2016-09-01 00:00:00,10,129,,,,,,,,,,,7,
173565,dacaab06-2c73-4613-b7bf-824c9c3d5179,,,,,,F,,C,2019-09-04 00:00:00,10,127,,2,,,,,,2,,,,
216355,b8b69446-b9c3-4408-87b0-e8c519de23d7,,,,,,F,,C,2018-09-05 00:00:00,9,141,,,,,,,,3,,,5,
131899,05978001-90fa-4357-9bf2-a431113a296c,,,,,,M,,C,2019-09-03 00:00:00,7,131,5,1,,,,,,3,,,,
172251,5f19b750-7f74-4459-abcb-a466d5372fee,,,,,,F,,C,2019-09-05 00:00:00,8,128,,,,,,,,1,,,,
241207,19637f62-8abd-4fb0-b9ef-5406480f294b,,,,,,F,,C,2016-09-05 00:00:00,7,146,6,,,,,,,,,,,
183124,bc80d736-b57b-4d06-822e-78a610885307,,,,,,F,,C,2015-09-01 00:00:00,9,143,9,2,,,,,,,,,,
127919,72bda9da-1ccb-4158-8a55-55a0a29ba138,,,,,,M,,C,2017-09-04 00:00:00,12,137,7,,,,,,,,,,,
109681,dfe938ba-940b-444f-b150-19ff3d20877c,,,,,,F,,C,2015-09-03 00:00:00,9,113,3,,,,,,,,,,,
183628,a6c6368a-398c-43c6-8b17-cc132cf4b930,,,,,,F,,C,2017-09-01 00:00:00,11,130,12,,,,,,,,,,,
179777,773b7fd6-f01d-461a-a530-710ecfcca531,,,,,,M,,C,2016-09-05 00:00:00,8,123,2,,,,,,,,,,,
177124,b013bd22-9e53-449f-b19e-3192d2610fda,,,,,,F,,C,2019-09-04 00:00:00,7,130,,2,,,,,,,,,,
149450,0eeecb4b-48fb-48f3-8903-d31ca81646f5,,,,,,F,,C,2017-09-06 00:00:00,7,128,,1,,,,,,,,,,
154957,f07f9a35-7e87-4f36-8b8a-e63d18e9bacb,,,,,,F,,C,2018-09-06 00:00:00,Leaver,132,5,,,,,,,,,,,
140067,ad99b30f-fade-4ea9-8b27-baca4f39b92c,,,,,,M,,C,2018-09-06 00:00:00,11,128,16,1,,,,,,,,,,
158217,fb3e86d4-ed44-46fd-984a-966450c0792b,,,,,,F,,Leaver,2017-09-07 00:00:00,Leaver,121,9,1,,,,,,3,,,4,
173750,9c2c2dd7-cb4c-40cb-9379-3327b8eec4cc,,,,,,M,,C,2018-09-07 00:00:00,11,136,,,,,,,,,,,7,
195472,5c8a2c11-fdcd-4338-ab46-25de7aeb9017,,,,,,F,,C,2015-09-01 00:00:00,Leaver,115,6,3,,,,,,3,,,2,
164806,c7fddd3b-4817-49b5-bb24-712856e73cbb,,,,,,F,,C,2017-09-04 00:00:00,11,128,7,1,,,,,,,,,,
147464,660fbdc8-62a5-4dd7-943f-d6de5bf37c38,,,,,,M,,C,2016-09-01 00:00:00,9,115,,3,,,,,,,,,,
268848,35d92aa6-a526-46ff-9835-a6c66a97f49a,,,,,,M,,Leaver,2018-09-01 00:00:00,8,139,,,,,,,,,,,6,
173399,d8f30cfc-244d-47e7-9949-5ecbd4d49cdd,,,,,,M,,C,2016-09-05 00:00:00,7,121,6,,,,,,,,,,6,
256128,dfd2aaa5-a692-42a6-a1a9-4b093fb0f823,,,,,,F,,C,2017-09-06 00:00:00,8,143,9,,,,,,,,,,,
193874,e9bafa51-d9cc-4932-b6ae-ea188c2c922b,,,,,,M,,C,2019-09-02 00:00:00,8,144,10,1,,,,,,1,,,,
219763,5ad4a17d-56dc-4799-a097-c2fe6c7b73d5,,,,,,M,,Leaver,2018-09-25 00:00:00,10,121,7,2,,,,,,,,,,
151811,d1cdb087-0504-46e0-8027-ec80ab1efb00,,,,,,M,,C,2018-09-05 00:00:00,12,122,,1,,,,,,1,,,,
191453,b61c7da3-a0fe-4aa9-85a0-123d0effba9d,,,,,,M,,C,2018-09-06 00:00:00,7,145,18,1,,,,,,,,,6,
216176,64535441-af2e-449e-8b41-faf34dc0b0ee,,,,,,F,,C,2015-09-03 00:00:00,10,141,12,,,,,,,,,,6,
164904,2a951c48-522f-4c00-af6b-f83b2e959857,,,,,,F,,C,2019-09-06 00:00:00,11,122,,,,,,,,4,,,,
190775,1fe3e685-ef8d-494a-873b-057f75e671ff,,,,,,M,,Leaver,2015-09-01 00:00:00,7,145,9,,,,,,,,,,,
143305,3bb4cddd-c9a2-48bc-9377-8a463e9ed431,,,,,,F,,C,2019-09-04 00:00:00,9,121,6,2,,,,,,3,,,,
206351,6335d451-e233-4406-bf8f-e79467c49afd,,,,,,M,,C,2019-09-01 00:00:00,Leaver,137,,2,,,,,,4,,,6,
180855,ef678c06-cc79-4e02-96a1-c290b7b1b8c0,,,,,,M,,C,2017-09-06 00:00:00,7,99,8,2,,,,,,,,,6,
204165,2eadd1d1-30ad-4ba6-8f04-8ca0fa968b21,,,,,,F,,C,2017-09-05 00:00:00,10,144,,1,,,,,,,,,,
141673,851a2bed-a87d-4330-a172-6869a46f8108,,,,,,M,,C,2018-09-25 00:00:00,8,127,2,,,,,,,,,,,
148066,b8852b4a-2973-45ab-a3ca-1779ee880b4a,,,,,,M,,C,2015-09-04 00:00:00,8,123,,1,,,,,,5,,,,
185783,8747ad48-31f9-409d-8aae-f83d83141ec7,,,,,,F,,C,2016-09-05 00:00:00,7,142,7,2,,,,,,,,,,
198009,786efd8a-2ae3-4ccc-917e-235b4a42e1a4,,,,,,M,,C,2017-09-06 00:00:00,11,127,9,,,,,,,,,,,
179430,5b345beb-24ac-4bf8-9b43-e788fc799cbf,,,,,,M,,C,2015-09-04 00:00:00,9,142,,1,,,,,,,,,,
230970,d2feedce-a744-485b-94c3-85c23078c1ad,,,,,,F,,C,2015-09-04 00:00:00,8,142,9,2,,,,,,2,,,,
211361,a5352033-55cc-44cc-9a6f-f186a5529802,,,,,,M,,C,2018-09-05 00:00:00,8,123,,2,,,,,,,,,,
182807,ae6f97fb-3b7c-4ff6-a16d-52d0a655af96,,,,,,M,,Leaver,2017-09-04 00:00:00,10,137,4,2,,,,,,,,,4,
210767,05ed9245-4267-4692-be54-007e0909fa88,,,,,,F,,C,2015-09-04 00:00:00,9,137,8,2,,,,,,,,,,
186116,aa0c6183-8d1e-4f52-8adf-49519f2268c3,,,,,,F,,C,2017-09-04 00:00:00,11,124,9,,,,,,,,,,,
166599,efd94731-7968-40d1-8f14-dd329f85986d,,,,,,F,,C,2019-09-04 00:00:00,8,134,8,,,,,,,,,,,
144781,35db04ba-0adb-4a0e-9616-bc6cf171343c,,,,,,M,,C,2019-09-02 00:00:00,8,133,,,,,,,,,,,7,
169552,cb505bfa-ef81-4ad3-aee8-72b5b7671782,,,,,,M,,C,2019-09-04 00:00:00,10,115,,,,,,,,,,,6,
195615,51cc5ba2-d663-4d4e-939a-7480b48293c4,,,,,,M,,C,2018-09-07 00:00:00,7,145,3,,,,,,,,,,,
219140,83b70e9e-bfcf-499b-a03a-375a89aa2a14,,,,,,M,,C,2018-09-05 00:00:00,11,132,,,,,,,,,,,9,
170483,8e298242-8531-48a3-a29c-1a329dca0aea,,,,,,F,,C,2018-09-05 00:00:00,10,115,,,,,,,,,,,,
142450,a8435455-cf82-4071-975c-ad75de25c609,,,,,,F,,C,2019-09-04 00:00:00,11,115,,,,,,,,,,,,
266174,67181a3a-f55b-4829-b3a0-985c28a37696,,,,,,F,,C,2016-05-12 00:00:00,11,129,,1,,,,,,,,,,
218417,edd2ab37-4f1f-437d-99d2-53af96086342,,,,,,F,,C,2018-09-06 00:00:00,11,143,,,,,,,,,,,,
182899,a1014f8a-87a0-4696-bd77-0ac52f184a99,,,,,,F,,C,2016-09-05 00:00:00,7,122,,,,,,,,1,,,,
195423,0fcfb355-295c-426c-bb58-3b79875b13b8,,,,,,F,,C,2018-09-07 00:00:00,8,118,9,,,,,,,,,,5,
200131,80111603-3253-4ebe-ae61-74cbc7577dff,,,,,,M,,C,2019-09-04 00:00:00,7,132,7,,,,,,,,,,,
158800,00a374ac-08c5-4e9f-83f9-b5a700c4adc3,,,,,,M,,C,2017-09-06 00:00:00,8,121,,2,,,,,,,,,,
116799,eb3896ec-0749-4b1d-904e-b490feafd22b,,,,,,M,,C,2015-09-03 00:00:00,7,114,9,,,,,,,,,,,
236648,b0e3ce31-b360-4029-84a7-e885a925a470,,,,,,F,,C,2018-09-07 00:00:00,11,133,,2,,,,,,,,,,
219791,9a448d0e-edd4-4391-a4e2-8e5a0f813a63,,,,,,M,,C,2017-09-06 00:00:00,7,141,3,1,,,,,,,,,,
192831,422d18d7-1379-408b-8246-7db559d09400,,,,,,F,,C,2018-09-07 00:00:00,9,129,8,2,,,,,,,,,4,
141572,ab5698e0-bc56-49e5-961b-6cc4cd8165e9,,,,,,M,,C,2018-09-06 00:00:00,7,97,9,,,,,,,4,,,7,
158031,85610ee9-6244-4f54-89c4-0facc6d43b5a,,,,,,F,,C,2015-09-04 00:00:00,7,134,13,2,,,,,,,,,4,
197094,0b955016-a450-4369-a6ee-b4611ddc415a,,,,,,M,,C,2019-09-04 00:00:00,9,145,1,2,,,,,,1,,,,
187333,df8da0d1-09fe-40b8-a870-bf3c2ad90e06,,,,,,F,,C,2015-01-12 00:00:00,7,139,4,,,,,,,2,,,4,
127090,12f12225-a80a-4fcd-b384-adc95d2fd041,,,,,,F,,Leaver,2019-09-04 00:00:00,9,124,6,2,,,,,,4,,,5,
232126,1fe3e685-ef8d-494a-873b-057f75e671ff,,,,,,M,,C,2019-09-01 00:00:00,Leaver,136,,1,,,,,,4,,,5,
175873,45e0a4c8-e74c-42da-a8b7-f0a9b1c15658,,,,,,M,,C,2015-09-04 00:00:00,11,131,3,2,,,,,,,,,,
185483,b1d5481e-1bda-4f3c-8df3-d975df9c5166,,,,,,M,,C,2019-09-04 00:00:00,7,144,6,,,,,,,,,,,
216990,02d3eb6a-9a64-47c6-b747-6351a05f4369,,,,,,F,,C,2019-09-04 00:00:00,7,139,10,,,,,,,3,,,4,
157613,a3dd5a07-e047-4c9c-9e73-ee8e95b238fc,,,,,,F,,C,2018-09-01 00:00:00,7,136,,,,,,,,,,,,
231881,9a2cee17-5f7b-4b8c-b56a-7b2f366c7a11,,,,,,F,,C,2016-09-02 00:00:00,10,134,3,,,,,,,,,,,
173950,8cedb2dd-bb82-4614-bf21-b09c02a3d1cb,,,,,,F,,C,2019-05-03 00:00:00,Leaver,130,,1,,,,,,,,,,
195924,6e4f3894-34c4-4c3a-9d61-9dcfeb3887c1,,,,,,F,,C,2018-09-04 00:00:00,9,135,3,,,,,,,,,,,
230368,70904afc-c47a-4af3-ac5a-51b489b6c714,,,,,,M,,C,2018-09-04 00:00:00,9,142,,2,,,,,,,,,,
184551,5532ab84-8d3b-4f6f-b315-69f634b49110,,,,,,M,,C,2017-09-06 00:00:00,10,135,,1,,,,,,5,,,,
179429,b9f3d01f-477f-46b3-8f5a-e490a6361bc4,,,,,,M,,C,2011-09-01 00:00:00,Leaver,131,15,,,,,,,,,,4,
146638,ad9644b7-da50-4997-9d0d-da8ae992029a,,,,,,M,,C,2018-09-04 00:00:00,8,134,7,1,,,,,,,,,,
194070,9683fbda-93b5-4adb-badf-3dbd607033d1,,,,,,F,,C,2017-09-04 00:00:00,7,137,,,,,,,,4,,,,
232829,b8f24076-ef3c-455f-af0b-4dfb415d2a03,,,,,,M,,C,2019-09-04 00:00:00,7,145,11,,,,,,,2,,,,
166136,4365c127-bbae-450d-b102-30bdc57f7091,,,,,,F,,C,2018-09-25 00:00:00,11,126,11,,,,,,,,,,3,
176913,88d65900-c135-4aa7-b729-0175fca1b1bc,,,,,,F,,M,2015-09-01 00:00:00,7,117,13,1,,,,,,,,,,
238119,db9e2587-4456-4edb-8681-c7c00094bd58,,,,,,F,,C,2016-09-05 00:00:00,9,142,,,,,,,,,,,,
194308,767abc7c-bfad-497f-a11e-4f2e8b1f7727,,,,,,M,,C,2016-09-01 00:00:00,11,127,,,,,,,,,,,,
187125,349db6e2-ae61-4fb4-9c35-3577031a5d99,,,,,,F,,C,2015-09-04 00:00:00,10,132,5,3,,,,,,3,,,,
176802,da141cf9-85b8-4655-8202-47e5c9b59edc,,,,,,M,,C,2017-09-05 00:00:00,11,114,5,1,,,,,,3,,,,
177319,d6102cc5-4ecd-4d41-87dc-e67f110080c0,,,,,,M,,C,2017-09-06 00:00:00,8,134,,,,,,,,,,,,
169031,fe9dd5fe-b3ac-45cf-a966-4a716a164f1a,,,,,,M,,C,2015-09-04 00:00:00,8,143,,,,,,,,,,,9,
166963,fa835ca0-55bd-4d69-a6ae-f337fb1e1a28,,,,,,M,,C,2018-09-05 00:00:00,11,139,,,,,,,,,,,,
141160,7adc3065-3f19-409f-9eb0-0b7edd35cb76,,,,,,M,,C,2016-09-05 00:00:00,9,133,11,,,,,,,,,,2,
178269,fb037883-d0da-48a1-b96b-0b7c5e6923a3,,,,,,F,,C,2017-09-05 00:00:00,7,144,3,1,,,,,,4,,,5,
163981,c5574588-574b-4dea-9484-55a74a707b3f,,,,,,F,,C,2017-09-06 00:00:00,7,118,,,,,,,,3,,,5,
141414,9d0b75fb-aa11-4f8e-aac9-391ec5dacecf,,,,,,F,,C,2018-09-03 00:00:00,8,137,5,,,,,,,,,,,
246016,573a1c4e-74ad-4c4f-83e6-53131d4b486e,,,,,,F,,C,2018-09-05 00:00:00,10,142,7,2,,,,,,,,,,
161677,26cd60e4-1da0-47f9-bc98-6d79546d110a,,,,,,M,,C,2015-09-03 00:00:00,9,139,7,1,,,,,,,,,,
202865,c3a95410-5bd5-432a-8635-c699c822b284,,,,,,F,,C,2017-09-06 00:00:00,7,133,9,,,,,,,,,,,
237262,77cd515c-a9a1-4519-8d04-21b1ffdc70dc,,,,,,M,,C,2019-09-04 00:00:00,11,134,2,,,,,,,,,,,
185763,6cbc2c42-ac0d-4a52-a4a1-79d7047208c9,,,,,,F,,Leaver,2017-09-06 00:00:00,7,139,,,,,,,,,,,,
114437,8747ad48-31f9-409d-8aae-f83d83141ec7,,,,,,M,,C,2018-09-07 00:00:00,9,115,10,2,,,,,,,,,,
240586,1c2635c3-8f5f-40e2-a5a9-867dbd04ae93,,,,,,M,,C,2017-09-06 00:00:00,7,126,,2,,,,,,,,,4,
243311,289a8544-ae16-430d-bfb8-ba71422c5de3,,,,,,M,,C,2018-09-07 00:00:00,7,130,7,2,,,,,,,,,,
95940,377f5bf5-0634-4e74-8a6e-2a1cfe370505,,,,,,F,,C,2015-09-01 00:00:00,8,100,,,,,,,,,,,,
181367,002b4d54-7419-441b-80c5-69fdc07139cf,,,,,,M,,C,2016-09-05 00:00:00,12,135,11,,,,,,,,,,,
265034,efa67aa6-a1f3-4a66-ae0e-7e70409a5d53,,,,,,F,,C,2018-09-06 00:00:00,9,146,3,,,,,,,,,,,
251817,492dca76-e2aa-49e1-a11b-f23a79e22701,,,,,,F,,C,2018-10-01 00:00:00,7,143,5,1,,,,,,,,,,
252292,a4e6486b-7ecf-4e8f-bb2a-d80e4d29143e,,,,,,F,,C,2019-09-03 00:00:00,10,145,,,,,,,,,,,,
185930,3535b3a9-cb94-4092-a2eb-c8c3e52abc12,,,,,,F,,C,2016-09-05 00:00:00,8,128,4,1,,,,,,4,,,,
281368,bb3f4115-8eed-4d2e-af3c-148c9fdb079c,,,,,,M,,Leaver,2019-09-04 00:00:00,11,141,,,,,,,,,,,5,
205580,8654332b-ec13-411d-ba88-6e66d39c68f1,,,,,,M,,Leaver,2019-09-01 00:00:00,7,140,,,,,,,,,,,,
186607,d86f39ba-b959-4adf-92e4-a6e39df70915,,,,,,M,,C,2017-09-06 00:00:00,8,130,3,2,,,,,,3,,,,
144126,923368ce-a964-493e-a3d4-e3705994dcca,,,,,,M,,Leaver,2019-06-24 00:00:00,8,126,,1,,,,,,,,,,
182422,41de137e-212b-400c-9d67-1b634ad948d9,,,,,,F,,C,2015-09-01 00:00:00,8,143,7,2,,,,,,3,,,,
198491,4a1a13bb-55f3-49bd-bd3f-cc60f5879341,,,,,,F,,C,2017-09-06 00:00:00,10,129,11,,,,,,,3,,,4,
174575,292af17c-4ff1-4025-9acc-679ee2d8766d,,,,,,F,,C,2016-09-05 00:00:00,9,137,,3,,,,,,3,,,4,
187669,745458b5-eb1f-4307-8ed4-de758462cd11,,,,,,F,,C,2017-03-15 00:00:00,9,120,,,,,,,,,,,,
214904,ad893d88-4d18-4d6c-b9bc-3a029db6b512,,,,,,M,,C,2019-09-04 00:00:00,9,135,,,,,,,,,,,,
197431,a457225c-7929-4d92-bf49-1a68578e042a,,,,,,F,,Leaver,2018-09-04 00:00:00,11,146,,,,,,,,,,,,
136164,ca51b17a-b862-4611-9655-fcb46791e483,,,,,,M,,C,2018-09-07 00:00:00,9,132,16,,,,,,,,,,,
180951,044e4b03-5443-42a6-bece-a8db9e95aa4d,,,,,,F,,C,2017-09-06 00:00:00,8,140,3,2,,,,,,,,,,
152006,e529f647-1907-4c7e-b4d1-4a36b56792bb,,,,,,F,,C,2015-09-01 00:00:00,7,129,,,,,,,,,,,,
272104,aa6255d6-7f70-4905-8e67-f1c200b82d2d,,,,,,F,,C,2018-09-01 00:00:00,7,142,,1,,,,,,,,,,
183918,55267afe-5fb3-4047-811c-d1fcfb9ea76a,,,,,,F,,C,2015-09-04 00:00:00,10,124,,,,,,,,,,,,
171028,9536d11d-30cb-4f98-9a9e-77691381bc5d,,,,,,F,,C,2017-09-04 00:00:00,10,123,7,3,,,,,,,,,,
159632,7600e566-c20f-44ae-8564-89260a876dd0,,,,,,F,,C,2019-03-11 00:00:00,7,125,,,,,,,,3,,,,
160102,307a4356-ca2e-4c3c-93be-1225dac30231,,,,,,M,,C,2018-09-05 00:00:00,8,131,,,,,,,,,,,5,
257607,2d96e009-92fa-4f19-9d55-38a9cd26ac64,,,,,,F,,C,2019-09-04 00:00:00,9,140,10,,,,,,,,,,,
231991,c5702f05-cb64-4884-9f14-06d6add4e5b8,,,,,,F,,C,2018-09-05 00:00:00,7,139,13,,,,,,,4,,,,
175865,428f5f3b-ed66-4bf1-8706-a00000368d15,,,,,,M,,C,2016-09-05 00:00:00,9,138,1,,,,,,,,,,5,
155590,54e4cf97-7a52-42fd-9dc0-cd7d53b1f9eb,,,,,,M,,Leaver,2019-09-04 00:00:00,9,138,7,,,,,,,,,,,
158229,23ae797a-6cff-455c-8160-f036ea0249ee,,,,,,M,,C,2019-09-03 00:00:00,12,141,,2,,,,,,2,,,4,
138789,8824d973-2869-44f9-8255-26b6f5257359,,,,,,F,,C,2015-09-03 00:00:00,7,143,,,,,,,,,,,2,
174994,5ebacbce-1c2a-4b88-9812-b6ab4e5eaeb0,,,,,,F,,C,2019-09-03 00:00:00,7,124,4,1,,,,,,5,,,,
227581,742f7979-24c8-4d6d-bffe-03df451c4b33,,,,,,F,,C,2019-04-01 00:00:00,11,144,,1,,,,,,,,,5,
248139,fb558b9c-6e3e-40ae-ba35-b6572407c448,,,,,,F,,C,2016-09-05 00:00:00,8,138,,,,,,,,,,,,
198048,3c0297c1-ecfe-401b-922e-4cb1e33a9791,,,,,,M,,C,2019-09-04 00:00:00,Leaver,136,9,,,,,,,,,,4,
143009,d91e4e02-db9f-47f2-844e-4f0d2c7a4485,,,,,,F,,C,2017-09-06 00:00:00,7,136,6,1,,,,,,,,,,
221972,1c61262a-2510-4078-bef3-aac4a09dc228,,,,,,M,,C,2018-09-06 00:00:00,7,140,,,,,,,,,,,6,
208102,3c407983-75ff-49cc-83a6-fe244e52eb7f,,,,,,M,,C,2019-09-04 00:00:00,7,140,14,1,,,,,,3,,,,
172536,a871c1bb-e9bb-4569-a410-87bb4180597d,,,,,,F,,C,2019-09-03 00:00:00,8,128,1,,,,,,,,,,,
173135,95790034-9764-4c9c-9860-826ad46e3c9c,,,,,,F,,C,2015-09-04 00:00:00,7,143,10,1,,,,,,2,,,,
179349,f8e2a67e-6eb0-42b3-80cb-09485ef7293a,,,,,,F,,C,2019-01-08 00:00:00,7,131,7,1,,,,,,4,,,,
140482,acd4c606-2651-4a49-9c62-887b769d8265,,,,,,F,,C,2016-09-05 00:00:00,Leaver,140,7,,,,,,,3,,,,
162359,a2ace563-f9ff-41ff-8b22-d2ae549fd7ed,,,,,,M,,C,2018-09-07 00:00:00,10,133,9,1,,,,,,,,,,
198405,85975891-f18d-43dc-b0a6-82285605901f,,,,,,F,,Leaver,2015-09-04 00:00:00,11,140,12,2,,,,,,2,,,3,
199440,019b380a-bf24-4885-b193-3a4e4a10d408,,,,,,M,,C,2018-09-10 00:00:00,11,137,,,,,,,,,,,,
158746,0b7828d7-18c0-466d-b139-27cde1103142,,,,,,F,,C,2017-09-01 00:00:00,9,133,7,2,,,,,,,,,8,
215990,7b925851-aa2c-4574-b48e-ff50526aa84c,,,,,,M,,C,2018-09-05 00:00:00,8,145,4,,,,,,,,,,,
198268,216bff12-75a2-4bae-a947-30704392a739,,,,,,F,,C,2015-09-03 00:00:00,7,145,,2,,,,,,,,,,
158555,377e0e5e-a2e0-4f15-967b-284e29fa7d7a,,,,,,M,,C,2017-09-04 00:00:00,8,116,,,,,,,,,,,7,
208927,c416c75c-c5f1-4685-a7bc-3983019d486d,,,,,,M,,C,2018-09-25 00:00:00,11,119,8,,,,,,,3,,,,
137646,fca9292e-c7de-49bb-93c0-8134e6d6ab20,,,,,,M,,C,2016-09-05 00:00:00,11,139,9,,,,,,,,,,,
74618,2c1fe1f3-15ea-490e-b247-0fe5d2366709,,,,,,M,,M,2015-09-04 00:00:00,7,121,,2,,,,,,,,,,
