Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,TermlySessionsAuthorised,TermlySessionsUnauthorised,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_F,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
223587,ea9b6b38-10bb-4a45-833e-b6a8cee1138b,,,,,,F,,Leaver,2011-09-06 12:00:00,Leaver,118,2,0,6,0,0,11,1,0,0,2,1,1,0,3,0
262261,eeb40a45-13ca-4f69-a4e5-2c540587fff0,,,,,,M,,C,2013-09-04 12:00:00,11,128,5,0,3,1,0,0,1,0,0,1,0,1,0,3,0
202149,fd21278c-aa79-4a6a-b598-48f017dd3de5,,,,,,M,,C,2013-09-05 12:00:00,8,98,5,0,3,0,0,27,1,0,0,0,4,1,0,0,0
148924,51822be2-43a3-40a9-952b-096fbf55cad0,,,,,,M,,C,2010-09-01 12:00:00,11,100,1,0,3,0,0,40,1,1,0,1,4,1,1,9,0
117219,1460d175-5884-423d-8896-76f27d6f01a2,,,,,,M,,C,2011-09-07 12:00:00,9,125,2,0,2,1,0,13,0,0,0,2,2,1,0,10,0
190666,052f410a-81fd-464d-974a-37ba34a6fb3c,,,,,,M,,C,2009-09-07 12:00:00,9,78,1,0,8,1,0,6,0,0,0,1,7,1,0,4,0
201713,8b9a789a-58d1-4854-81c3-87a0a49debcf,,,,,,F,,C,2012-09-06 12:00:00,12,65,3,0,2,0,0,13,1,1,0,2,0,3,0,5,0
213397,c0a601a4-f861-49c1-a9dd-740314f03cf1,,,,,,M,,C,2012-09-05 12:00:00,12,113,5,0,1,1,0,19,2,1,0,1,1,2,0,2,0
185793,3938a9d8-c397-43c4-850b-258714fe76f9,,,,,,M,,Leaver,2011-09-07 12:00:00,12,125,1,0,1,0,0,20,1,1,0,2,1,1,0,3,0
240886,a9895552-bc64-49e3-b440-d2f115609ab3,,,,,,M,,C,2010-09-03 12:00:00,11,129,6,0,4,0,0,1,0,0,0,0,2,1,0,0,0
244532,384e882f-8bf5-471c-b108-ed2361bd2566,,,,,,M,,C,2013-09-04 12:00:00,9,116,5,0,2,0,0,18,0,1,0,1,0,0,1,0,0
209834,9925616e-306f-45b3-be41-80cbd71cd00d,,,,,,F,,C,2014-02-25 12:00:00,11,126,0,0,5,0,0,1,1,2,0,1,2,0,0,5,0
220872,428df91c-a2cf-409c-b7de-bca8ed61139f,,,,,,F,,Leaver,2009-09-01 12:00:00,8,87,10,0,1,2,0,21,2,0,0,1,5,0,0,0,0
144409,5744aeab-3b3c-4d77-87d8-a4a28c259028,,,,,,M,,C,2009-09-03 12:00:00,8,105,2,0,1,1,0,22,3,0,0,1,1,2,1,0,0
255357,f6a31501-40e4-49e0-96c5-573d11ef3f6e,,,,,,M,,C,2013-09-01 12:00:00,11,108,2,0,3,2,0,12,0,1,0,1,2,1,0,1,0
249981,fa2ba0d0-d1d9-4340-94fc-8debf85eb4f0,,,,,,M,,C,2011-09-01 12:00:00,7,103,4,0,5,2,0,15,3,1,0,0,1,4,0,3,0
138368,1e1ee2fd-6517-409b-8de3-fb2ee1f03ec2,,,,,,F,,Leaver,2013-09-06 12:00:00,9,64,5,0,10,1,0,21,1,1,0,2,3,0,0,7,0
208823,86161d6e-ccaf-4ac8-b9d9-1a376b91244a,,,,,,M,,C,2013-10-07 12:00:00,9,123,1,0,2,0,0,35,2,1,0,0,3,0,0,1,0
180867,aa2c67c7-2192-43a2-9459-429e3ddc8ee1,,,,,,M,,C,2011-09-06 12:00:00,10,119,1,0,4,0,0,13,1,1,0,2,6,1,0,4,0
203057,9715dda4-a487-48c3-b7d4-0da461533b44,,,,,,F,,C,2012-09-04 12:00:00,11,117,7,0,7,1,0,1,0,0,0,1,0,1,0,2,0
167349,faf7d595-5a74-438f-bf60-cf8e68e35003,,,,,,F,,C,2011-09-07 12:00:00,10,108,7,0,1,0,0,12,1,0,0,0,7,0,0,2,0
207241,3bee394c-30a1-412b-83cf-160aa9fcbec3,,,,,,M,,C,2010-09-02 12:00:00,12,83,2,0,1,1,0,41,1,1,0,1,4,1,1,6,0
201689,f1882e08-5c69-4a2a-b77f-aa443e45818d,,,,,,F,,C,2009-09-03 12:00:00,9,123,2,0,5,0,1,22,1,1,0,0,4,0,0,5,0
211385,027eb271-6ecf-44e7-b16c-b4f3541d79cb,,,,,,M,,C,2009-09-01 12:00:00,12,104,8,0,0,1,0,24,1,1,0,1,2,0,1,5,0
192535,c143e23a-c8d6-4918-aced-4ac9c30b9d6e,,,,,,F,,Leaver,2011-09-06 12:00:00,8,82,1,0,7,1,0,14,1,1,0,0,3,1,0,1,0
189772,dccc0da5-8257-4eb5-bd21-28b5cd2e9495,,,,,,M,,C,2011-09-06 12:00:00,10,113,6,0,3,0,0,1,2,1,0,0,2,1,0,1,0
177794,69384c4f-5570-4f8f-83d7-8f03d77545a6,,,,,,F,,C,2010-09-02 12:00:00,9,113,2,0,7,2,0,3,0,1,0,1,2,0,1,2,0
218187,af7ca678-8f87-41bc-8109-e60842c4cacf,,,,,,M,,C,2013-09-03 12:00:00,8,133,0,0,12,0,0,13,2,1,0,0,8,3,1,5,0
216954,cd5805f5-ec9b-4fc1-9cee-678ef7da0148,,,,,,F,,C,2009-09-21 12:00:00,11,134,3,0,14,1,0,15,1,0,0,1,0,1,0,5,0
233788,ae23b4ef-22e9-47df-8e63-1ce8dd922c4e,,,,,,M,,Leaver,2011-09-05 12:00:00,10,101,4,0,2,0,0,10,1,2,0,2,2,1,1,9,0
170195,177eba5f-6ee0-4212-8cea-d7bc55e5ac55,,,,,,M,,Leaver,2013-09-03 12:00:00,8,118,4,0,1,1,0,19,1,0,0,0,0,1,0,1,0
221320,bb600193-2aa3-4d16-985d-d38e9572695d,,,,,,M,,C,2012-09-01 12:00:00,8,119,4,0,2,0,0,4,2,1,0,2,2,1,1,10,0
238606,5ffb2ba6-c0b9-49d4-988b-24a371c3d711,,,,,,M,,C,2011-09-05 12:00:00,12,115,2,0,4,2,0,7,0,0,0,1,2,3,0,7,0
133008,2c308cfa-81c1-4428-9a4c-593cd08d125d,,,,,,M,,Leaver,2009-09-01 12:00:00,7,108,2,0,7,1,0,28,2,0,0,4,1,5,1,1,0
224330,e1dc1057-9793-4265-a254-e69f9d146898,,,,,,M,,C,2013-09-03 12:00:00,10,119,1,0,5,2,0,24,1,0,0,1,6,0,0,0,0
175434,efba803f-95d6-4b22-af9b-f244ea503fb1,,,,,,M,,C,2012-09-01 12:00:00,11,95,7,0,1,1,0,36,0,0,0,3,2,4,0,9,0
193873,ae3e793d-7537-40ea-959b-7293de491a8c,,,,,,F,,C,2011-09-05 12:00:00,12,100,2,0,5,0,0,16,1,0,0,1,5,1,0,3,0
233342,01bbfdec-fa93-4fbb-8889-1dc33240c6f4,,,,,,M,,C,2013-09-04 12:00:00,8,128,5,0,0,0,0,17,0,0,0,2,0,2,0,3,0
210135,52280ab5-06cd-4b33-80ee-821853a9216c,,,,,,F,,C,2011-09-07 12:00:00,Leaver,84,1,0,3,0,0,6,2,1,0,4,5,1,0,1,0
132580,c51de2ed-7906-4b65-ab8e-8009755682f2,,,,,,F,,C,2011-09-01 12:00:00,8,108,3,0,7,0,0,10,0,0,0,1,6,3,0,4,0
224406,0ddd7506-d689-4746-aa2d-ce82bd2f78fc,,,,,,M,,C,2013-02-14 12:00:00,11,132,5,0,2,0,0,1,1,0,0,2,0,2,0,6,0
249677,f003c0a2-450e-41ec-ac03-91dff03ba25e,,,,,,M,,C,2013-09-05 12:00:00,10,96,3,0,7,0,0,38,0,1,0,2,6,3,0,1,0
156078,fd5c0ed3-1b96-46af-aa56-0ab764598d94,,,,,,F,,C,2011-09-07 12:00:00,9,106,5,0,9,0,0,19,1,0,0,1,1,0,0,5,0
151672,0e9141c8-31bf-4115-b48a-c14c67c0de6e,,,,,,M,,C,2012-09-01 12:00:00,12,107,3,0,5,1,0,30,1,1,0,1,3,1,0,2,0
141017,d7d89818-3fa8-4f12-b3d9-360e3b67e248,,,,,,F,,C,2013-09-03 12:00:00,10,131,1,0,1,1,0,18,0,1,0,1,0,2,0,0,0
196141,0e899be7-5b79-44e8-b554-4cd63f443645,,,,,,M,,C,2012-04-01 12:00:00,8,119,2,0,12,2,0,23,0,1,0,1,1,0,0,6,0
185395,8e139fc5-0a9f-4b46-9c22-b12a8ee460f3,,,,,,M,,C,2013-09-02 12:00:00,12,118,5,0,3,1,0,6,0,0,0,1,3,1,0,3,0
157376,316a6d9f-edcf-43f8-93b9-495536a5965d,,,,,,M,,C,2010-09-01 12:00:00,9,123,10,0,1,0,0,7,1,1,0,0,2,0,0,6,0
233563,c7079435-a4d7-4836-ae25-d29d2ed93d9b,,,,,,F,,C,2011-09-02 12:00:00,11,105,4,0,3,1,0,9,0,1,0,2,2,2,0,5,0
157007,c5e3e7fe-555d-4a47-9c09-5343974eec68,,,,,,M,,C,2009-09-03 12:00:00,10,111,0,0,7,1,0,47,1,1,0,1,5,1,0,7,0
157788,32adb04a-5aa8-42f5-af0a-1f2ef6aab0c9,,,,,,F,,C,2010-09-01 12:00:00,9,125,0,0,8,1,0,3,1,1,0,1,5,1,0,5,0
158236,2bbb7469-a4c1-4ad6-bc58-d39e6eb242cf,,,,,,M,,C,2010-09-02 12:00:00,11,114,3,0,2,2,0,13,0,1,0,0,4,0,0,1,0
201225,d512d158-df48-4f13-9e82-8dbc12eb0e47,,,,,,F,,C,2012-09-06 12:00:00,10,111,3,0,3,0,0,24,0,0,0,0,1,1,0,4,0
176264,54fa8bae-9931-4288-998b-8f3d2e098a64,,,,,,F,,C,2010-09-03 12:00:00,11,104,1,0,8,2,0,3,0,0,0,3,7,1,0,7,0
214074,1e5b9fe7-f507-4e67-8140-bd0f8d8ba13b,,,,,,F,,C,2009-09-01 12:00:00,8,126,9,0,10,1,0,6,0,0,0,0,5,1,0,0,0
185619,db46c97d-edda-4b40-a711-4154c99014ee,,,,,,M,,C,2009-09-01 12:00:00,8,122,2,0,5,0,0,5,1,0,0,1,1,0,1,1,0
217118,395a2c67-935d-4e6b-b3ba-0bf514f57ddd,,,,,,F,,C,2012-11-16 12:00:00,9,130,6,0,6,1,0,6,1,2,0,4,5,1,1,4,0
177945,0af7901d-fedc-4e91-b63a-c408ae8aa168,,,,,,M,,Leaver,2011-09-05 12:00:00,8,113,1,0,7,1,0,15,1,1,0,0,6,1,0,2,0
169296,f335e991-5bad-4cc1-8240-e77bbd05644a,,,,,,M,,Leaver,2011-09-07 12:00:00,8,117,4,0,2,0,0,14,0,1,0,1,7,1,0,0,0
210052,faafb4cb-a420-4265-ac59-fc9658cfe975,,,,,,M,,Leaver,2014-01-15 12:00:00,9,107,3,0,10,0,0,23,1,1,0,1,7,0,0,3,0
161514,4175f311-03bf-4e29-b8a1-4b1037108641,,,,,,M,,C,2013-09-05 12:00:00,10,102,1,0,4,1,0,13,0,1,0,0,6,1,0,6,0
202191,e628b1ec-4c8b-485b-9785-36aa86a6ef52,,,,,,M,,C,2013-09-01 12:00:00,11,129,3,0,14,1,0,0,0,1,0,2,2,1,1,3,0
165963,7997680c-623a-4996-9b83-e6292434a70b,,,,,,M,,Leaver,2010-09-02 12:00:00,Leaver,95,7,0,3,2,0,41,1,0,0,1,3,1,0,2,0
190747,d93bd022-baca-4b0f-8ba7-73a5abd7eede,,,,,,F,,Leaver,2013-09-23 12:00:00,9,131,11,0,7,1,0,6,0,2,0,1,2,3,0,6,0
203464,47e527c1-82e7-4fcc-bf41-e3faa14721ca,,,,,,F,,C,2012-09-06 12:00:00,9,120,6,0,6,0,0,22,3,1,0,2,1,3,0,6,0
130258,765cfc97-9d01-4714-96ad-c98b1b8cb5ad,,,,,,F,,C,2014-06-03 12:00:00,10,125,7,0,3,1,0,1,0,1,0,1,1,2,0,4,0
176611,905b6bc1-3b6b-4144-8b76-0658f626d4ac,,,,,,M,,C,2014-06-23 12:00:00,7,114,6,0,7,0,0,4,0,0,0,3,2,2,0,5,0
207881,a70476fb-647c-406b-b749-2d1d93c9d12c,,,,,,M,,C,2011-09-07 12:00:00,10,120,8,0,2,1,0,8,2,0,0,1,1,0,0,2,0
195765,637315f5-b97a-4ec4-b79d-1c171d1db40d,,,,,,F,,C,2010-09-01 12:00:00,8,124,7,0,6,0,0,7,2,1,0,2,0,1,0,4,0
205467,5a937974-0da0-40c6-8b2d-e5eefcb58592,,,,,,F,,Leaver,2009-09-01 12:00:00,Leaver,84,0,0,2,1,0,18,0,0,0,0,0,0,1,2,0
204557,2f3246a8-2618-49ad-9070-108560b48491,,,,,,M,,C,2013-09-04 12:00:00,10,105,7,0,3,1,0,2,2,0,0,0,3,1,0,5,0
155646,604421a4-ece1-4846-b001-6afeccfaa5fa,,,,,,M,,C,2010-09-02 12:00:00,11,90,7,0,1,0,0,8,0,0,0,1,1,2,0,5,0
125666,6e6aee17-4085-47ba-8cde-daaeea3812c8,,,,,,F,,Leaver,2009-09-03 12:00:00,10,112,7,0,6,0,0,6,1,0,0,2,5,1,0,7,0
221111,d24dda7a-c503-4c50-9e10-80a928f8775e,,,,,,M,,C,2012-09-05 12:00:00,10,107,2,0,2,0,0,2,1,0,0,0,3,1,0,1,0
233341,0f4246de-2b36-451d-b58f-875b664a4eec,,,,,,F,,C,2013-09-01 12:00:00,12,80,4,0,3,0,0,8,0,1,0,1,3,2,0,4,0
234068,9e7abad5-8814-4014-956b-bd4431863162,,,,,,M,,C,2009-09-03 12:00:00,8,114,0,0,12,2,0,5,1,1,0,0,0,1,1,1,0
246836,86a20698-7bdc-4544-91d6-0f6b4895b1ab,,,,,,F,,C,2013-09-05 12:00:00,7,98,8,0,4,0,0,34,0,0,0,2,2,1,1,1,0
220003,f908c3d5-37bc-4307-9067-8c074130f393,,,,,,F,,C,2013-09-04 12:00:00,12,107,5,0,8,3,0,37,2,1,0,0,4,3,1,4,0
196843,6872c3df-4c9c-4322-837b-2f0934870e7a,,,,,,F,,C,2012-05-02 12:00:00,11,116,3,0,4,0,0,21,1,1,0,3,7,0,0,1,0
163875,6e99b4ca-8af9-4f36-b944-0dd35bbff23d,,,,,,F,,C,2009-09-03 12:00:00,12,121,5,0,4,0,0,31,0,0,0,0,1,1,1,3,0
158440,937a53c4-1fe6-412e-9e6c-cac4ddf807c5,,,,,,M,,Leaver,2009-09-01 12:00:00,12,112,8,0,1,1,0,12,1,0,0,1,2,2,0,4,0
212653,58c661a1-fec7-497d-bceb-e63d4cd994bb,,,,,,M,,C,2013-09-04 12:00:00,10,120,3,0,0,0,0,17,0,0,0,3,4,0,0,4,0
191921,44ee5fc8-bcd8-4086-a7f7-61721cc3d8fd,,,,,,M,,C,2013-09-03 12:00:00,10,117,8,0,4,0,0,32,1,2,0,0,1,0,0,1,0
134122,c8355784-2999-4397-b3e7-4acaefbb81d5,,,,,,F,,C,2009-09-02 12:00:00,9,130,1,0,5,2,0,13,2,0,0,4,0,2,0,1,0
110341,34002305-071c-4632-9d38-2cb8107b3a15,,,,,,M,,Leaver,2011-09-01 12:00:00,12,98,3,0,3,1,0,8,1,2,0,1,2,2,0,5,0
235380,839560d9-2ec3-4966-a9c9-9ae1cbefc408,,,,,,F,,C,2010-09-02 12:00:00,Leaver,48,1,0,1,0,0,38,1,1,0,1,3,3,0,3,0
197920,0cd7c37e-263b-43b7-96f5-c3c463c46f93,,,,,,M,,C,2009-09-03 12:00:00,8,105,0,0,1,1,0,7,3,0,0,0,2,0,0,3,0
148316,4891c6a5-e367-4618-a8da-a8809a7ce693,,,,,,M,,C,2011-09-07 12:00:00,11,129,4,0,2,1,0,11,0,0,0,2,7,2,0,3,0
177850,df8de629-4467-4a92-ab8a-0fa60d7bbfd7,,,,,,M,,C,2010-09-02 12:00:00,11,110,10,0,9,0,0,2,1,1,0,3,2,0,1,9,0
159086,4fcff658-4822-48a7-9745-1ffe3a437b84,,,,,,F,,C,2011-09-05 12:00:00,9,122,1,0,12,0,0,6,0,0,0,1,4,1,0,7,0
174358,08e28533-0519-4c43-bffe-0bcd1cef4a5a,,,,,,M,,C,2009-09-03 12:00:00,10,75,10,0,3,1,0,35,1,0,0,1,3,1,0,2,0
138790,ca1fb27a-6cbd-4910-8786-910381aeb49b,,,,,,F,,C,2011-09-06 12:00:00,Leaver,129,7,0,2,1,0,6,1,0,0,0,0,1,0,3,0
179115,7a7d1898-fa65-49bc-800d-bc6c615757f8,,,,,,M,,C,2009-09-03 12:00:00,10,123,8,0,8,0,0,1,1,2,0,0,5,0,0,0,0
161738,465ad0df-05df-4bdc-b655-f022aa2d7123,,,,,,F,,C,2013-09-25 12:00:00,11,131,1,0,11,1,0,4,3,0,0,0,2,2,0,1,0
248467,79e66d9f-3952-495d-a589-860857675718,,,,,,F,,C,2010-09-02 12:00:00,11,130,0,0,14,2,0,8,1,0,0,1,4,0,1,1,0
130285,e7021232-5cf5-433c-89f0-3a104e0ef13e,,,,,,M,,C,2012-09-05 12:00:00,10,105,5,0,3,2,0,8,2,2,0,2,0,0,0,1,0
218752,ede38223-7dd0-44ab-8794-c1ef82480d6a,,,,,,F,,Leaver,2009-09-01 12:00:00,10,69,4,0,2,1,0,16,0,1,0,0,3,3,0,4,0
171667,4d895caf-8fed-4e5d-9b8a-855cf385ebdb,,,,,,F,,C,2012-09-06 12:00:00,11,129,9,0,5,0,0,2,1,0,0,1,7,3,0,0,0
230818,5e915ae8-23a0-4577-9a1b-5e17c84b4685,,,,,,F,,C,2012-09-05 12:00:00,9,113,1,0,5,1,0,4,2,1,0,2,2,1,0,4,0
214904,188e2bc7-13d9-4fed-b7ba-36364384cc0a,,,,,,M,,C,2009-09-03 12:00:00,11,126,4,0,4,0,0,1,0,0,0,1,1,1,0,0,0
176350,2fb72ebd-c72d-4ba5-aedd-de3bb0144895,,,,,,F,,C,2011-09-07 12:00:00,9,127,1,0,1,2,0,7,1,1,0,1,2,3,1,2,1
243869,3c5f837e-3341-4c8c-ae71-ee16a757f245,,,,,,F,,C,2013-09-04 12:00:00,12,126,3,0,6,1,0,4,3,0,0,0,1,1,0,2,0
188559,8c1191c2-f674-423c-9c58-fd36197b93a5,,,,,,M,,Leaver,2010-09-02 12:00:00,11,126,8,0,0,1,0,1,1,0,0,0,0,1,0,1,0
209912,9e78fb99-b95d-4a28-8a71-68a0118aaedc,,,,,,F,,C,2010-09-02 12:00:00,11,130,8,0,2,1,0,2,1,0,0,0,3,1,0,1,0
213561,1c0eb856-28ee-49a2-97ff-e835e5683ad5,,,,,,F,,C,2009-09-03 12:00:00,11,133,9,0,1,2,0,1,0,1,0,3,4,1,0,0,0
136356,d58aa4d0-4e2b-4bf4-8a8c-10be04e45687,,,,,,F,,C,2010-09-06 12:00:00,8,120,1,0,11,0,0,13,2,0,0,1,2,1,1,10,0
241860,699c9652-eb6b-48b8-bd66-6773a3d94126,,,,,,F,,C,2011-09-07 12:00:00,8,114,2,0,6,1,0,17,3,0,0,1,1,1,0,4,0
176106,0523f901-0ab7-41d6-835b-10268dbf8e04,,,,,,F,,Leaver,2009-09-03 12:00:00,12,99,1,0,1,0,0,13,2,0,0,1,7,1,0,4,0
212419,3e0ab12b-cb68-4139-ac98-3af914a1bf3d,,,,,,F,,C,2011-09-06 12:00:00,8,103,0,0,6,1,0,16,1,0,0,1,2,3,0,6,0
195563,86153243-e47b-412c-b3ae-30b4545d9669,,,,,,F,,C,2009-09-01 12:00:00,9,119,2,0,13,2,0,12,2,1,0,3,3,3,0,2,0
230188,5f516d72-acc4-49b2-baf1-cce109f2a8f0,,,,,,F,,Leaver,2013-09-04 12:00:00,10,87,4,0,3,1,0,14,0,1,0,4,3,0,0,0,0
212737,3d0b34dd-8cc8-4917-9d62-7457bc204e7d,,,,,,F,,C,2013-09-05 12:00:00,12,122,6,0,1,1,0,25,2,1,0,0,1,2,0,3,0
169555,55d38371-e2f1-42a2-919f-1986b43c4232,,,,,,F,,C,2012-09-06 12:00:00,8,103,4,0,2,1,0,13,1,0,0,0,1,3,1,1,0
187256,f312f3e8-4e35-4acd-bd2b-12757dabf00a,,,,,,M,,C,2013-03-04 12:00:00,8,98,1,0,1,1,0,8,1,1,0,2,9,1,0,1,0
205722,558f48a2-0f24-45b6-b335-8ed744e0166b,,,,,,M,,C,2010-09-01 12:00:00,10,123,8,0,7,1,0,8,1,1,0,1,1,0,0,2,0
146123,68ab07dc-3d2c-4637-b031-cd4bdff9b2e2,,,,,,F,,C,2010-09-02 12:00:00,10,118,2,0,2,1,0,8,1,1,0,0,5,1,0,1,0
171817,2a1e5c35-e21a-47b9-a69b-d070f0e09ac4,,,,,,F,,C,2013-09-05 12:00:00,9,113,2,0,2,0,0,8,2,0,0,1,1,2,0,5,0
221688,2404b9a8-70d3-4d42-9a80-c8452d1afbe5,,,,,,M,,C,2013-09-05 12:00:00,10,112,4,0,5,0,0,12,1,0,0,0,3,0,0,0,0
167199,3faded3e-efc0-49b5-916b-cbe66d9363d4,,,,,,F,,C,2014-04-28 12:00:00,Leaver,89,4,0,5,3,0,21,1,1,0,1,0,2,0,9,0
256073,93f1c68c-3ec5-42d5-bb51-71283466e49d,,,,,,M,,C,2010-12-08 12:00:00,10,74,4,0,1,1,0,18,1,1,0,1,1,2,0,4,0
163291,31ed1064-813c-492c-be24-e9a406d23fbb,,,,,,F,,C,2012-09-06 12:00:00,9,120,3,0,4,0,0,7,2,0,0,1,4,1,0,4,0
181823,d61a1de4-c7bf-4558-90a2-a6d9edbf61f0,,,,,,F,,Leaver,2011-09-06 12:00:00,10,107,3,0,3,1,0,3,2,0,0,1,0,4,0,3,0
184031,a579bacd-62fe-42fa-8310-1c79de6f04a8,,,,,,F,,C,2013-09-04 12:00:00,9,121,3,0,0,1,0,1,1,0,0,0,1,2,0,2,0
216912,c5efffaa-c744-47d8-b504-08cf65fe3dde,,,,,,M,,C,2010-09-02 12:00:00,9,132,3,0,1,1,0,13,1,0,0,1,6,2,1,8,0
266831,0a2acb97-8eb7-4c5d-9931-3de242c21048,,,,,,M,,C,2013-09-02 12:00:00,10,85,6,0,1,1,0,6,1,1,0,2,2,0,0,6,0
198252,0704a3e2-0d8a-42dc-a2ea-2132ec33e605,,,,,,M,,C,2013-09-04 12:00:00,11,130,4,0,5,1,0,6,0,1,0,1,0,1,0,8,0
210944,79ac6674-ee4e-46f4-86e6-0f406339674f,,,,,,F,,Leaver,2012-09-06 12:00:00,12,104,2,0,4,2,0,16,1,1,0,2,0,2,1,1,0
196403,0930d1a2-1b4d-4d00-8db0-64214bff7253,,,,,,M,,Leaver,2009-09-03 12:00:00,10,100,2,0,8,1,0,13,1,0,0,2,8,1,1,4,0
173079,3890bbe5-9701-46e9-b953-6db0a71a0d7e,,,,,,F,,Leaver,2009-09-03 12:00:00,Leaver,108,4,0,5,2,0,5,1,0,0,2,2,3,1,4,0
192164,ebcb1b14-e116-4373-92b5-342920db176b,,,,,,M,,C,2010-09-02 12:00:00,11,134,2,0,14,1,0,2,2,2,0,2,10,1,0,11,0
174470,53e1d255-cf1c-4a89-9141-f8d5cab3b029,,,,,,M,,C,2012-09-04 12:00:00,9,121,1,0,5,0,0,50,1,1,0,1,1,0,0,2,0
218962,87f98c63-d09e-40cc-8555-59a93de6f57c,,,,,,F,,C,2013-09-05 12:00:00,11,109,2,0,6,1,0,6,1,0,0,2,4,2,0,8,0
165976,94383323-7d32-4252-926f-fce937e28c27,,,,,,F,,Leaver,2012-09-03 12:00:00,10,127,2,0,2,1,0,35,1,1,0,1,3,2,1,5,0
227863,ea071fac-db57-4fbd-9014-48e135f0d4e9,,,,,,F,,Leaver,2013-09-04 12:00:00,12,76,1,0,2,2,0,35,1,3,0,1,3,0,1,4,0
187254,66ffd52f-900d-4f25-9234-48e0c34dc993,,,,,,F,,C,2012-09-06 12:00:00,12,91,2,0,6,0,0,28,0,0,0,0,3,0,0,1,0
185352,9ea3fa9d-c5a7-432f-8dd6-e7e137126c48,,,,,,F,,C,2009-09-03 12:00:00,10,99,1,0,3,0,0,39,0,0,0,1,4,3,0,0,0
161715,c80d5702-70c8-4137-86e4-966a7c9e6012,,,,,,F,,Leaver,2011-09-07 12:00:00,11,133,11,0,9,2,0,0,1,1,0,1,1,1,1,12,0
227644,0b2dcf86-de48-45f9-8b4b-fae9f1f968f3,,,,,,F,,C,2010-09-02 12:00:00,8,120,3,0,13,1,0,21,2,2,0,2,1,1,1,2,0
175472,3193a7ff-21e0-4309-9757-3ff0e9af928c,,,,,,M,,C,2011-09-07 12:00:00,Leaver,94,2,0,7,0,0,38,1,2,0,3,4,4,0,0,0
