Deprivation indicator - IDACI score,DfE Establishment Number,Is the pupil disadvantaged?,Is the pupil looked after?,KS2 English PS,KS2 English TA level,KS2 English level (finely graded),KS2 Mathematics TA level,KS2 Mathematics level (finely graded),KS2 Maths PS,KS2 Prior Band,SEN,UPN,KS2  ENGLISH (KS2),KS2  MATHEMATICS (KS2),KS2 APS (VA),KS2 APS cubed,KS2 APS squared,KS2 ENGLISH TA,KS2 English PS deviation,KS2 MATHEMATICS TA,KS2 Maths PS deviation,KS2 Reading PS,KS2 Reading TA level,KS2 Reading level (finely graded),KS2 mathematics (finely graded)
0,684616138,0,0,26,4,4.21,,4.25,26,2,K,25e14dcf-6812-4651-a060-ea5c7512d3c5,,,,,,,,,,,,,
0,668688157,0,0,30,5,5.26,5,5.63,31,3,N,70da7556-41c6-4f71-83ed-3857bce0c02f,,,,,,,,,,,,,
0,649068089,0,0,22,4,5,3,4.91,23,3,N,d7999333-5c56-4dd9-96ed-d2358eb14916,,,,,,,,,,,,,
0,590909771,0,0,31,5,4.34,5,5.29,33,2,K,4600cd46-cb72-4b40-9dc9-c55c53851744,,,,,,,,,,,,,
0,673434501,1,0,21,,5.77,4,5.38,18,2,N,233074a5-4962-4b46-868b-160f093269ef,,,,,,,,,,,,,
0,715060795,0,0,34,4,4.5,4,3.21,32,1,N,8cf8ff93-d924-4553-a3af-b5adf4d0eca5,,,,,,,,,,,,,
0,565056671,0,0,17,3,5,3,5.79,18,3,K,5221ce32-3dea-45bf-af34-3b8b635a114a,,,,,,,,,,,,,
0,692027233,0,0,9,,2.5,3,4.63,10,3,N,e507e744-7cf0-4aa2-9c1b-81159b5af174,,,,,,,,,,,,,
0,802826966,0,0,27,5,4.97,4,5.79,27,3,N,8c9ff498-c0ce-422b-a612-354fffdb2eed,,,,,,,,,,,,,
0,680451390,0,0,13,3,4.38,4,5.54,18,2,N,978e500f-d8cc-4572-bbd4-acaba0220e74,,,,,,,,,,,,,
0,739837071,0,0,18,3,5.58,,3.5,11,2,N,deea77f6-e1aa-4762-a765-de4a2ccd21c1,,,,,,,,,,,,,
0,615140768,1,0,22,4,4.62,,3.93,19,2,N,91f473c9-fa0f-4f55-a150-0aa0bb5d4314,,,,,,,,,,,,,
0,725971732,1,0,27,4,5.13,4,4.31,25,3,N,049ea3c8-f2b7-4b94-9c42-70cd463d47ab,,,,,,,,,,,,,
0,821651707,1,0,16,4,4.69,4,4.47,17,2,N,8d8132ec-921c-4685-8c71-b5bc95a3aecc,,,,,,,,,,,,,
0,796712559,0,0,17,4,,3,,18,4,N,ef8c301e-0114-4907-ad15-8cad47b5a366,,,,,,,,,,,,,
0,715448608,1,0,25,4,5.39,5,5.71,24,3,N,9e958ecb-4ab8-43bb-8668-0a81b187ba02,,,,,,,,,,,,,
0,680374718,0,0,17,3,5.16,3,5.79,14,2,N,385ff64c-7ec5-4dd8-ae45-6c4a1d693360,,,,,,,,,,,,,
0,646290649,0,0,15,,3.72,3,5.83,17,3,N,505a5e18-5004-4b71-9570-dbc259f7c90c,,,,,,,,,,,,,
0,666078672,0,0,17,,3.83,3,5.5,19,2,K,04f56c66-3007-4443-b03f-6086315851cc,,,,,,,,,,,,,
0,647979270,0,0,6,3,5.23,6,4.97,11,3,N,5f049d55-7b53-4c7f-8579-104b2679ad02,,,,,,,,,,,,,
0,662562354,0,0,18,3,4.62,3,4.19,12,3,K,0d044833-607a-4be9-8fc8-79ad0c1a6e84,,,,,,,,,,,,,
0,803345065,0,0,29,4,5.32,3,5.04,30,3,N,6566ef36-6eff-488b-ba98-2299d16c1324,,,,,,,,,,,,,
0,759926236,0,0,29,5,4.55,5,5.71,30,4,N,81ee4064-a239-4d0f-91e6-b358e7d356ca,,,,,,,,,,,,,
0,660155238,0,0,32,4,5.68,5,4.75,29,2,N,7545ee90-8133-4099-a4d5-28c231509bca,,,,,,,,,,,,,
0,745045918,0,0,35,6,5.42,5,5.67,35,2,N,248587db-a693-4cd0-8b6f-d29abf6ba1e9,,,,,,,,,,,,,
0,820473369,0,0,25,4,5.55,4,5.46,27,3,N,83f0d140-3c77-4765-85dc-de2106296981,,,,,,,,,,,,,
0,783282776,0,0,23,3,5.06,6,4.84,21,3,N,f1eaf0fd-fe58-4a93-aeb7-eabdb40558de,,,,,,,,,,,,,
0,632319382,1,0,29,4,4.21,4,3.79,25,1,K,ee996592-b483-44f5-8fef-d95effa21031,,,,,,,,,,,,,
0,573283917,0,0,11,,4.72,3,5.33,7,3,N,fafd214b-94e3-4fe1-a54e-cb8844c41654,,,,,,,,,,,,,
0,611682545,1,0,24,3,5.71,3,4.56,28,2,N,9f1a2060-9cf5-4e2b-b109-7fa797c9d540,,,,,,,,,,,,,
0,773120637,0,0,32,5,4.41,5,4.13,28,1,S,6c77814c-c3e3-4cdd-a708-14124cd29027,,,,,,,,,,,,,
0,805178298,0,0,24,5,5.03,4,5.58,27,3,K,f20f2ab1-2521-4b09-92da-79830618e400,,,,,,,,,,,,,
0,683286373,0,0,26,5,5.16,4,5.71,25,3,N,418880d4-6b5c-4689-8d9c-ece5f24e0c1d,,,,,,,,,,,,,
0,781406848,0,0,14,4,,4,5.67,15,4,N,5548560a-95b4-4d34-ad7a-d8562148fa2e,,,,,,,,,,,,,
0,760902428,0,0,24,4,5,5,,30,3,N,ff92c5f3-3b04-450a-8331-da376bacbeba,,,,,,,,,,,,,
0,780014228,0,0,9,4,5,3,4.91,10,3,N,e4b17ecd-41a8-433f-9e38-9ac6b84878d7,,,,,,,,,,,,,
0,748541328,0,0,32,5,4.52,5,4.78,31,2,N,b078c7c4-9110-45d7-8d37-22f65101403e,,,,,,,,,,,,,
0,804529899,0,0,32,5,4.14,5,5.79,29,3,N,7046ae88-67e6-4d45-86bb-ce841d73feab,,,,,,,,,,,,,
0,679036272,0,0,19,3,4.1,3,4.97,23,3,K,cc5a56ff-751b-4af7-8612-1e2c71361e7c,,,,,,,,,,,,,
0,657179774,0,0,16,4,,3,5.38,18,2,N,aed45559-3996-4f41-9421-232e26913e6d,,,,,,,,,,,,,
0,761920357,0,0,30,5,5.39,5,5,30,2,N,15289689-290f-489f-b5f6-15f29884c71d,,,,,,,,,,,,,
0,796484828,0,0,32,5,4.38,4,5.21,32,2,N,5df3ddc6-61be-4c20-9fee-dcfb4366e082,,,,,,,,,,,,,
0,803944756,0,0,30,5,4.62,5,5.42,32,3,N,173d57e6-8e44-4939-a106-da49199e4a5a,,,,,,,,,,,,,
0,787635901,0,0,26,4,4.79,4,5.21,27,3,N,4a7707da-969c-47e3-9f45-fd87d261ae2d,,,,,,,,,,,,,
0,655397728,0,0,24,,5.77,5,4.56,21,1,K,0ee5f460-03bc-4172-ae29-2e0b0e11d60f,,,,,,,,,,,,,
0,758573149,0,0,18,,5.03,4,5.17,24,2,N,66b938e9-6d09-4240-83fc-94edc3870238,,,,,,,,,,,,,
0,791398021,0,0,33,5,4.66,5,4.28,33,2,N,769d89af-1cf1-47c3-9597-7f44a2b41ab1,,,,,,,,,,,,,
0,769320586,0,0,31,5,5.42,W,5.54,30,4,N,0969b1b9-a98c-45af-85b5-5c83b2df6bbf,,,,,,,,,,,,,
0,813005134,0,0,7,4,,,,9,4,K,385ff64c-7ec5-4dd8-ae45-6c4a1d693360,,,,,,,,,,,,,
0,556607789,0,0,13,6,5.48,4,5.33,14,3,K,fa8b4eab-468a-49da-bf17-e0af08a80f7f,,,,,,,,,,,,,
0,596467414,0,0,28,4,5.03,4,5.58,26,3,K,75ef1121-5c3e-4118-bbb9-e3841735d123,,,,,,,,,,,,,
0,689091839,1,0,34,5,5.39,4,4.44,34,2,N,263d50c2-07a2-44db-a27b-4417dbc72abf,,,,,,,,,,,,,
0,500731635,1,0,7,3,4.72,3,5.79,15,3,S,cb300a48-93ae-45fb-95ae-f17771839217,,,,,,,,,,,,,
0,702592359,0,0,29,5,5.23,5,,28,4,N,be4f6c4e-774c-4449-9d95-f341a3189b91,,,,,,,,,,,,,
0,774748798,0,0,9,,,3,,7,4,N,f8e423b1-98fc-4fbd-a17f-8ac61333ce01,,,,,,,,,,,,,
0,694698576,0,0,19,4,5.16,4,5.54,17,3,N,2108b94c-fd1f-421f-b3f6-6d97e2ca4c7b,,,,,,,,,,,,,
0,643382117,0,0,25,4,4,5,4.47,25,2,N,f4da5953-fcae-4760-859e-93e4ff9b6964,,,,,,,,,,,,,
0,727378151,0,0,25,4,3.78,4,5.79,27,2,N,b078c7c4-9110-45d7-8d37-22f65101403e,,,,,,,,,,,,,
0,813850485,0,0,20,4,5.1,4,5.63,15,3,N,47c80960-de7b-46e5-98ac-e21d3af87d7a,,,,,,,,,,,,,
0,781576763,0,0,29,4,3.78,4,3.54,27,2,N,25e87d5e-2009-4d1e-994a-3765dcf11540,,,,,,,,,,,,,
0,711235749,0,0,23,4,4.83,5,5.42,24,2,N,bbbfb36c-a7ae-4b63-b6e1-735ad817fe17,,,,,,,,,,,,,
0,713875897,0,0,25,5,,5,5.25,28,3,N,994a9356-044e-448f-9304-0afcb07f8152,,,,,,,,,,,,,
0,805640888,0,0,25,4,5.1,5,5.83,22,3,N,e2ebb7cd-bb0a-4cd1-ab4b-19559e75b27c,,,,,,,,,,,,,
0,764616724,0,0,21,4,4.38,3,5.17,20,3,N,898526d4-dc3a-4c9d-b201-618bdf51ddde,,,,,,,,,,,,,
0,765856241,0,0,30,5,5,5,5.42,30,2,N,e5e211f1-6552-49ce-b418-e6beefdba091,,,,,,,,,,,,,
0,715148132,0,0,13,3,,3,5.5,9,4,N,45067671-5f18-484b-aa8c-f196b5539200,,,,,,,,,,,,,
0,762680324,0,0,15,4,5.23,3,5.54,17,3,N,e1f4a9c6-d75e-47af-90bd-563c2e11fc05,,,,,,,,,,,,,
0,779976679,0,0,35,5,4.79,5,4.56,35,2,K,8522686a-5da7-4f9d-b4ea-ddfb29023a75,,,,,,,,,,,,,
0,731325223,0,0,25,4,,4,4.84,24,2,N,f79b12ca-84eb-4c30-b9e7-c203f84bcf35,,,,,,,,,,,,,
0,802959141,0,0,21,3,4.86,4,4.03,22,3,N,90eba455-6f9f-4111-b65d-50c0d1a64b0f,,,,,,,,,,,,,
0,775283004,0,0,30,4,4.97,5,5,28,4,N,bbf5598c-9b7f-44fb-9cb2-13d072addbde,,,,,,,,,,,,,
0,768706899,0,0,13,4,,4,,15,4,N,e06fa961-3aad-43cd-b06d-8b4d7b81d8ed,,,,,,,,,,,,,
0,750256603,0,0,34,5,4.52,4,4.38,34,2,N,7436de61-17ef-47bd-9933-c5abbb646ac8,,,,,,,,,,,,,
0,613088150,0,0,31,4,4.76,5,5,31,2,N,034f1b5e-1f04-47aa-b88c-796cf1ec4c22,,,,,,,,,,,,,
0,799652114,0,0,18,5,4.72,4,5.54,19,4,N,ea38fbfc-08b1-49ce-9342-025ad041c8eb,,,,,,,,,,,,,
0,752778531,0,0,24,4,4.83,5,2.5,22,3,N,83ad359c-fcbc-4167-8a05-23b63829aaec,,,,,,,,,,,,,
0,610425325,0,0,32,4,2.5,5,5.08,32,1,N,04a223ec-bb58-4b4e-9c4f-77cf90cd6165,,,,,,,,,,,,,
0,752699435,1,0,18,3,5.06,4,4.41,15,2,N,be469305-244a-4b2d-b696-a3437de4d807,,,,,,,,,,,,,
0,757547339,1,0,31,5,5.06,5,,31,4,N,9f390ce5-729a-4d07-81f0-13ac5729e147,,,,,,,,,,,,,
0,744026715,0,0,23,5,5.35,4,5.58,25,3,N,2478b099-c81d-47a0-8d1f-ef98b1f7cab6,,,,,,,,,,,,,
0,758900549,0,0,32,5,5,5,5.5,29,2,K,0a8f0596-338b-4363-b21a-1cd15d970a65,,,,,,,,,,,,,
0,791368462,0,0,14,4,5.19,4,,15,3,N,db7218e6-8f43-4cd0-a87f-d4fdfafc544d,,,,,,,,,,,,,
0,763058034,0,0,19,4,5.13,5,4.56,19,3,K,d934c625-ec3e-4dae-8ceb-8ab79240e602,,,,,,,,,,,,,
0,704162054,0,0,29,4,4.03,5,4.03,32,2,K,41246cc4-18fd-4de5-9de1-8870af6a0db5,,,,,,,,,,,,,
0,775810772,0,0,18,4,5.19,4,5.54,19,4,N,887145f1-45d2-4e01-b104-c38c1c3a49e8,,,,,,,,,,,,,
0,690685335,1,0,18,4,4.72,4,5.08,16,3,N,e1680920-779e-4552-a84a-40d0cd487089,,,,,,,,,,,,,
0,690950714,0,0,18,4,4.07,5,5.75,12,3,N,31052017-6852-4ee8-809f-ab029fe51090,,,,,,,,,,,,,
0,777859414,0,0,31,5,4.28,5,5.29,29,2,N,eca7d1c0-ed68-47d1-b842-d0e6f13ad6a6,,,,,,,,,,,,,
0,813655819,0,0,26,4,5.45,4,4.88,18,3,N,a845751a-5301-4a27-82f3-fa91519a5f29,,,,,,,,,,,,,
0,763441903,0,0,22,3,4.72,3,4.56,25,2,N,24338e63-6097-46fc-a4ff-431667873490,,,,,,,,,,,,,
0,723286414,0,0,26,4,4.62,4,3.79,25,2,N,f1f79747-7406-4b4c-a9d5-71275235900a,,,,,,,,,,,,,
0,597625847,1,0,32,5,3.5,3,5.96,31,1,N,07c67e21-7c47-4709-9418-efbab70b05c1,,,,,,,,,,,,,
0,690060797,0,0,29,4,4.72,5,4.91,32,2,N,4131c12c-32ac-493f-832d-c99d5fb56cc6,,,,,,,,,,,,,
0,669948396,0,0,26,5,,3,5.29,28,4,N,46a9c9fd-8f76-4820-8a54-7747a712dbb2,,,,,,,,,,,,,
0,791412303,0,0,26,4,5.32,3,4.66,28,2,N,bcd1ffd8-a82a-4182-89b7-c409715544fe,,,,,,,,,,,,,
0,747187515,0,0,31,5,5.03,5,5.67,33,3,N,6c9aec80-6fb3-47ea-b306-31bfc781b50a,,,,,,,,,,,,,
0,656525820,1,0,24,3,4.03,6,3.96,23,2,N,45d9387d-8872-4181-bf76-de60d6c44185,,,,,,,,,,,,,
0,550907328,0,0,11,3,5.16,4,5.29,11,3,N,48205fb3-08a8-4f7a-b7f0-6ec7300545a9,,,,,,,,,,,,,
0,529569641,1,0,15,4,5.29,4,2.5,16,3,N,14782249-5fe7-4c42-9415-163e1f11c49f,,,,,,,,,,,,,
0,740689687,0,0,18,4,,3,5.42,21,4,N,d94c4f58-00f6-4bea-b94c-ce86b37db4ad,,,,,,,,,,,,,
0,707757832,0,0,14,5,5.29,3,5.38,16,4,N,3603efb2-3050-4d69-8de4-8c05afc0c081,,,,,,,,,,,,,
0,627669726,1,0,28,2,3.67,4,4.67,24,1,N,065340e6-7ac9-4bf9-bd94-73254ee7bfc7,,,,,,,,,,,,,
0,810761525,0,0,6,,4.69,6,5.67,13,3,S,d4c8586b-bfad-40aa-ac41-dda8c2038c89,,,,,,,,,,,,,
0,774306230,0,0,21,4,4.93,4,5.29,20,2,N,def36391-d6fa-40eb-b39e-8bb813622c37,,,,,,,,,,,,,
0,741241256,0,0,24,5,,5,,27,4,N,101c0ad6-57c2-4734-8cf7-db43c1f3e2c8,,,,,,,,,,,,,
0,760486718,0,0,16,4,4.69,5,5.54,16,3,N,6cc267f2-072f-45b8-a0b9-74b60de100bd,,,,,,,,,,,,,
0,655991811,0,0,25,,4.17,6,3.89,18,2,K,1c87dc1a-d2d8-4644-978e-25884e76f24f,,,,,,,,,,,,,
0,777072223,0,0,33,5,4.83,5,5.71,32,4,N,f46437b1-e4ad-44d7-b225-812fe943a6b1,,,,,,,,,,,,,
0,723262359,0,0,21,3,4.03,3,4.19,19,2,N,60c8015f-5776-4a10-ad41-9f413e3e769e,,,,,,,,,,,,,
0,654684343,0,0,27,5,5.1,4,5.38,27,3,N,55b59186-b345-4f55-bbe2-bfc3da8781a7,,,,,,,,,,,,,
0,733031512,1,0,27,3,4.1,4,5.83,29,2,N,41a4dca0-306b-451d-9a6f-90090def24d3,,,,,,,,,,,,,
0,722183245,0,0,34,5,4.45,4,5.83,32,2,K,005d84c1-73de-4059-9e02-0473a9891d42,,,,,,,,,,,,,
0,776468805,0,0,19,5,,5,,25,4,N,b11f0623-01a0-4839-814e-c692b40fb804,,,,,,,,,,,,,
0,625183205,0,0,24,4,5.45,5,5.75,26,4,K,d8eb02cb-4568-4666-a2bf-28a12234eb17,,,,,,,,,,,,,
0,691002651,0,0,17,4,5.29,4,5.71,18,3,K,af7ad40f-7040-4c6b-9f81-48d689cd2f59,,,,,,,,,,,,,
0,719171244,0,0,25,4,5.13,4,4.75,25,3,K,8c275bfe-0cc9-46f3-a3b3-566c04dbe58e,,,,,,,,,,,,,
0,766625130,0,0,16,4,4.41,3,5.17,25,3,N,5a857102-9ec7-4249-9180-e94e06d8740f,,,,,,,,,,,,,
0,447216797,0,0,29,4,4.79,3,4.69,28,1,E,71269ea8-a3f6-49e2-a771-d73381037b66,,,,,,,,,,,,,
0,808366175,0,0,26,5,5.06,5,,33,4,N,7e727f29-46a9-402f-8099-c6830f10f919,,,,,,,,,,,,,
0,812225127,0,0,23,4,5.23,4,5.5,18,3,N,104d3dc0-b5ce-4115-b414-63b8c6831cd8,,,,,,,,,,,,,
0,714973303,0,0,31,5,5.19,4,5.71,33,3,N,891619b7-ece5-4827-91c9-3befb4bee8e0,,,,,,,,,,,,,
0,770604193,0,0,15,3,,5,5.63,16,4,N,54423324-f1d5-4b7a-96c4-48046fcb30bd,,,,,,,,,,,,,
0,650766789,0,0,25,4,4.55,4,4.63,25,3,N,71943686-6dfd-4045-814d-6f6d470228d9,,,,,,,,,,,,,
0,735902361,0,0,25,5,4.62,5,,30,3,N,701243d1-67ae-4109-a62f-c96509d48af8,,,,,,,,,,,,,
0,799702444,0,0,28,5,5.26,5,5.42,27,3,N,c2741997-4f37-4383-a874-f80cdcfa78f2,,,,,,,,,,,,,
0,682286599,0,0,22,3,4.28,3,5.58,21,2,K,35964bc7-8f41-4994-8319-e9ada78c03bb,,,,,,,,,,,,,
0,722838165,1,0,27,4,5.35,3,4.81,28,3,N,018fe573-c1ee-4d7a-860a-51e3a876e0d0,,,,,,,,,,,,,
0,666663072,0,0,24,5,5,4,5.63,25,4,N,f420d325-029b-4ea8-9e1b-0e709c7755b9,,,,,,,,,,,,,
0,599132075,0,0,26,4,4.86,4,4.66,24,2,N,45a9de77-f212-4be5-b053-1a8498a3ddae,,,,,,,,,,,,,
0,733396656,0,0,34,5,4.45,W,5.58,35,1,N,5142e50e-7b1d-4f9c-b55d-15d4fffa8a4f,,,,,,,,,,,,,
0,783924007,0,0,31,5,4.79,4,4.63,32,2,S,5d090da3-2244-48af-8036-5a2f47b2ed5b,,,,,,,,,,,,,
0,710566382,1,0,26,4,3.72,4,4.81,26,3,N,35f3eef3-23c6-4f20-8824-90d0913fac5d,,,,,,,,,,,,,
0,628246902,0,0,19,4,5.42,5,5.54,22,3,K,e67f311e-176f-49ff-9bd0-ab147e6e4496,,,,,,,,,,,,,
0,812284080,0,0,26,5,4.69,5,4.63,25,3,N,e214411f-4e62-4676-af2f-c58121671112,,,,,,,,,,,,,
0,688329027,0,0,27,,5.55,4,4.56,26,1,N,d76ea895-1aed-4446-b655-6a155ff807b4,,,,,,,,,,,,,
0,733392116,0,0,18,4,4.48,3,3.93,18,2,N,952fa04a-0067-485a-97fc-3f3f959b664f,,,,,,,,,,,,,
0,660591138,0,0,32,4,5.52,4,5.38,33,1,N,03b61cf3-23b1-470b-b4e7-f895b5ee6307,,,,,,,,,,,,,
0,714198546,0,0,31,5,4,4,0.5,31,1,N,787f36c6-17f9-4779-a592-96f7189491e8,,,,,,,,,,,,,
0,592325073,0,0,11,3,5.1,6,5.71,14,3,K,bc423307-d14a-49af-ab2f-9840a891e0c0,,,,,,,,,,,,,
0,597140781,0,0,17,4,4.86,,5.38,19,4,N,48ad0c25-517c-4e7a-b6e1-3f1ea1bf29e7,,,,,,,,,,,,,
0,716758437,0,0,27,4,3.83,5,5.21,30,2,K,6bf922e3-ee83-427b-806c-4dd56f77c74f,,,,,,,,,,,,,
0,805311447,0,0,22,4,3.72,4,4.47,19,2,K,949de6c5-229d-4499-98b6-b8933b8999d4,,,,,,,,,,,,,
0,820457420,1,0,31,5,4.97,5,5.33,29,3,N,bb5c90f9-6bf5-41a7-80fc-260173c46c8e,,,,,,,,,,,,,
0,790916865,0,0,15,3,5.26,6,3.86,14,2,N,e8bc3c05-0a50-46dc-ab9d-86321fbc50bc,,,,,,,,,,,,,
0,767352807,0,0,31,4,4.76,5,5.25,32,2,N,1a757fb8-1f95-48cc-94e1-c31f893f42d8,,,,,,,,,,,,,
0,766084683,0,0,25,4,5.13,4,4.69,29,3,N,d577cd53-04e8-4e27-9323-72ee075f7e4f,,,,,,,,,,,,,
0,679493089,0,0,27,3,4.66,4,4.69,29,2,N,43fdf2ac-521f-4c0c-a62c-95c887b4b227,,,,,,,,,,,,,
0,660030917,1,0,27,3,4.21,2,4.16,24,1,S,a458669c-8b6e-408f-a490-421668a03cf1,,,,,,,,,,,,,
0,775297544,1,0,35,5,1.5,5,4.28,35,1,N,b7b3be6c-b0ad-465a-a37b-6782e47974e9,,,,,,,,,,,,,
0,782566804,1,0,4,4,4.83,,5.38,8,4,N,7fc9ce7d-7f57-4b40-88a5-fd369d1058a7,,,,,,,,,,,,,
0,783807764,0,0,20,5,5.06,5,,22,4,N,564504f0-20b9-4ea4-8ee5-8c96b5039bb6,,,,,,,,,,,,,
0,743802370,0,0,29,5,4.48,3,4.03,23,1,K,b7a7362d-c9b3-40a5-9b0d-a09c0c91fbb6,,,,,,,,,,,,,
0,680977582,0,0,29,4,4.86,4,5.54,25,3,N,b9e13f63-8eb1-4ea0-9bb2-62faba0a2d77,,,,,,,,,,,,,
0,688236854,0,0,13,3,,4,5.54,9,3,N,66f941da-3b22-4812-9f25-bf85362e8ca0,,,,,,,,,,,,,
0,581272622,0,0,20,,4.41,4,5.25,23,3,N,a06d4269-5c89-4a3c-b59d-95a3c28cc808,,,,,,,,,,,,,
0,697170828,0,0,30,4,0.5,5,5.67,31,3,N,3012be07-2dbd-4bd2-ba40-8bf0edf6fec4,,,,,,,,,,,,,
0,815829943,0,0,31,5,5.26,5,4.56,31,2,N,f27db7f3-eb99-4fc1-a23e-c29adf56627f,,,,,,,,,,,,,
0,814288793,0,0,31,5,4.41,3,5.42,32,3,N,74cd97f8-869b-4bfd-9d6e-2280ad97bfdd,,,,,,,,,,,,,
0,801991184,1,0,18,4,5.48,,2.5,22,3,K,14d6f7d3-2121-4b12-bea5-d56e94fe7201,,,,,,,,,,,,,
0,724811646,1,0,33,4,3.72,4,3.79,32,1,N,51251c08-0ec3-4e81-b5c0-6ae21134da4b,,,,,,,,,,,,,
0,487303572,1,0,30,4,5.23,5,5.42,26,3,N,0806f501-0e2b-4fc1-b66d-44258ea07029,,,,,,,,,,,,,
0,689673408,0,0,21,4,5.32,4,5.58,25,3,N,ccc73581-8ae4-4129-ab79-54916ed164b2,,,,,,,,,,,,,
0,779670945,0,0,35,5,5.39,5,5.79,35,3,N,b5f14ce2-d90d-418c-a98e-658c7b133654,,,,,,,,,,,,,
0,759672791,1,0,35,1,3.89,5,4.22,35,1,N,c010905d-967f-4d84-9102-a63af56f06d6,,,,,,,,,,,,,
0,772001104,0,0,17,4,5.29,5,4.16,21,3,N,dd2c7b1a-bb18-4e9f-8f56-3a374d5d7ad9,,,,,,,,,,,,,
0,815692298,0,0,25,3,5.06,4,5.46,22,3,N,b9a47fc4-1d1a-4bf0-a44e-f33eb56dbc49,,,,,,,,,,,,,
0,736468595,0,0,35,5,3.28,5,1.5,35,1,N,021c1722-7f42-4070-9a8c-4b2bae5580fc,,,,,,,,,,,,,
0,804164797,0,0,26,3,3.39,,5.88,27,2,N,7d985731-e981-44b2-98c9-18c6c557d458,,,,,,,,,,,,,
0,676060603,0,0,32,5,4.31,4,4.5,30,2,N,de416a4c-6624-42b4-9835-70ff894d058a,,,,,,,,,,,,,
0,656091001,0,0,7,3,5.06,4,5.46,9,4,N,969df141-cc90-4064-b774-9a276e269fe0,,,,,,,,,,,,,
0,731054831,0,0,35,5,5.26,5,4.75,35,3,N,861e8252-6cd9-4847-bce7-d688fe01f9dc,,,,,,,,,,,,,
0,807861582,0,0,22,5,5.32,4,5.58,25,4,N,bc46c4cd-d77e-4e51-8179-1bfb46cd44cd,,,,,,,,,,,,,
0,823302913,0,0,12,3,5.06,5,5.63,12,3,K,0c916a2f-bbc4-44de-8769-c7150317370d,,,,,,,,,,,,,
0,650533130,1,0,34,5,4.45,2,5.71,34,2,N,446dcbbb-5dca-4e17-93fc-500ba106704e,,,,,,,,,,,,,
0,809981789,0,0,35,W,5.16,5,5.75,35,3,N,b277ae7c-821c-4b55-9341-7f18fc490cc7,,,,,,,,,,,,,
0,645109272,0,0,13,,4.83,,3.46,10,2,K,222d1853-7678-4060-985e-8ad6fc69d298,,,,,,,,,,,,,
0,766327238,1,0,33,5,4.66,5,4.53,34,3,N,1176dbb4-a4b4-4e7a-a695-d1154937d393,,,,,,,,,,,,,
0,733233271,0,0,25,4,5.06,5,,29,3,N,7ff807bc-6b71-4f38-a210-f4f76ec4a33b,,,,,,,,,,,,,
0,776167123,0,0,33,5,4.17,5,4.88,32,2,N,d7a6d651-81d2-4c4f-addb-be00fcba60e0,,,,,,,,,,,,,
