Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,Ethnicity,Language,SENprovision,SENNeed1,SENNeed2,SENunitIndicator,ResourcedProvisionIndicator,UniqueLearnerNumber,Postcode,SAON,PAON,Street,Locality,Town,AdministrativeArea,postTown,AddressLine1,AddressLine2,AddressLine3,AddressLine4,AddressLine5,NativeID,FSME on Census Day,Age
136574,7c0378ff-b277-4406-846f-358ee800fa67,,,,,,M,,C,2011-09-05 00:00:00,13,APKN,ENG,N,,,False,,,,,,,,,,,,,,,,,False,14+
189459,229aea54-ea98-4e6f-b75d-316badafdddd,,,,,,M,,C,2015-09-01 00:00:00,8,WENG,ENG,N,,,,False,,,,,,,,,,,,,,,,False,13+
243292,ca0bd1f2-6a0a-46cf-8599-fc4b39565beb,,,,,,F,,C,2017-09-06 00:00:00,11,APKN,URD,N,,,False,True,,,,,,,,,,,,,,,,False,10+
142629,f57ced66-f3cf-4a4d-afcf-d2e4277435cf,,,,,,M,,C,2014-09-04 00:00:00,11,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,13+
117287,a5000271-b4c2-472d-87ba-10aecc42d1c0,,,,,,M,,C,2015-09-04 00:00:00,7,APKN,ENG,N,,,False,,,,,,,,,,,,,,,,,False,11+
221986,995f6598-61bd-4904-bcd4-b63b078d8ef9,,,,,,F,,C,2011-09-07 00:00:00,8,WBRI,ENG,N,,,False,,,,,,,,,,,,,,,,,False,11+
110966,724c31fa-6180-4aa7-b30f-fb544df50fa8,,,,,,M,,C,2011-09-05 00:00:00,7,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,12+
180128,0779cf4e-3811-4b8a-af87-ce342e383d68,,,,,,F,,C,2011-09-06 00:00:00,8,APKN,ENG,N,,SLCN,,,,,,,,,,,,,,,,,,False,11+
146016,db0d682e-7dbb-4adc-96ab-6ddf78149845,,,,,,F,,C,2013-09-03 00:00:00,8,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,19+
178026,3ecf8d4c-c5b5-4ce2-a5a4-e96aa2b78bf9,,,,,,M,,C,2011-09-07 00:00:00,14,WBRI,ENG,N,SPLD,,,,,,,,,,,,,,,,,,,False,14+
209731,4bb1896b-9543-456a-97f2-49179f55827e,,,,,,F,,C,2012-09-01 00:00:00,10,APKN,URD,K,SLD,,,,,,,,,,,,,,,,,,,False,13+
124814,c4c7e4ad-073a-47e6-9bd8-cef93617bc73,,,,,,M,,M,2013-09-03 00:00:00,8,MAOE,ENG,N,,,,,,,,,,,,,,,,,,,,False,10+
131834,7bf0a3f7-f122-470d-80f4-65edfe1ce2b0,,,,,,M,,C,2013-09-01 00:00:00,11,WBRI,ENG,K,SPLD,,,,,,,,,,,,,,,,,,,False,13+
98183,fba89170-a497-4e9f-a287-6c7eae9d80cf,,,,,,F,,M,2015-09-21 00:00:00,7,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,14+
168354,308cf9fc-a5a1-45d7-828d-74a47621d4b1,,,,,,M,,C,2014-09-08 00:00:00,7,APKN,URD,N,,,,,,,,,,,,,,,,,,,,False,17+
240917,581948ab-b791-411b-8ec9-c2c19eb0a51c,,,,,,F,,C,2015-09-03 00:00:00,7,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,11+
143588,70169da6-1b4a-445a-b6f1-0558fa2ab4e1,,,,,,F,,C,2016-09-02 00:00:00,9,APKN,ENG,N,SPLD,,,,,,,,,,,,,,,,,,,False,14+
190590,533f928c-001a-4cef-bef7-2a26e4944739,,,,,,F,,C,2016-09-05 00:00:00,7,AIND,URD,N,,,True,,,,,,,,,,,,,,,,,False,10+
155905,5300c4c5-80c1-4e16-a1ab-704b4d6c1622,,,,,,M,,C,2017-09-06 00:00:00,10,WBRI,ENG,N,,,False,,,,,,,,,,,,,,,,,False,11+
231563,63933203-f78e-4e42-a8c5-244e797e9fca,,,,,,F,,C,2014-09-04 00:00:00,9,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,13+
218014,0f597174-b910-44e7-be75-0b96ac367cac,,,,,,F,,C,2014-06-02 00:00:00,11,WBRI,ENG,K,SPLD,,False,,,,,,,,,,,,,,,,,False,16+
133790,715ae6bc-6508-4dc9-87bf-a5bb47c0cb8b,,,,,,F,,C,2013-09-03 00:00:00,8,WBRI,URD,N,,,,,,,,,,,,,,,,,,,,False,10+
144236,bed72e04-69f3-4314-8fcb-d93680a5e567,,,,,,M,,C,2017-09-04 00:00:00,8,APKN,ENG,N,SPLD,,False,,,,,,,,,,,,,,,,,True,13+
64033,ed28d83e-6425-40e9-8621-dc75b70006bb,,,,,,M,,C,2014-09-01 00:00:00,10,WBRI,ENG,K,,SLCN,,,,,,,,,,,,,,,,,,False,13+
245656,a29cefc0-9699-4409-b56e-a31bb0dc50ca,,,,,,F,,C,2016-09-05 00:00:00,13,MOTH,URD,N,,,,,,,,,,,,,,,,,,,,False,11+
176590,546addac-e1fd-4807-b6f8-008e42f76f47,,,,,,F,,C,2013-09-05 00:00:00,10,WBRI,ENG,K,SPLD,,False,False,,,,,,,,,,,,,,,,False,15+
186063,c185a715-f9cc-40e6-9ba1-3a69fef28fb2,,,,,,F,,C,2016-09-02 00:00:00,10,APKN,ENG,N,,,True,,,,,,,,,,,,,,,,,False,15+
172959,68cb4856-2644-48a2-b04a-611e05308ed6,,,,,,F,,C,2017-09-06 00:00:00,9,MWAS,ENG,K,,,,False,,,,,,,,,,,,,,,,False,10+
129214,eb20a04b-50c9-43ff-950a-3ef6dbf1c05a,,,,,,M,,C,2012-11-06 00:00:00,7,WOTH,ENG,N,SPLD,,False,,,,,,,,,,,,,,,,,False,16+
202977,0ad6ed77-b588-4413-9b73-e1cfc1b3a6a7,,,,,,M,,C,2018-01-08 00:00:00,10,WBRI,URD,S,SPLD,,,,,,,,,,,,,,,,,,,False,14+
227075,61d9f06e-770b-43c3-81df-7618b36502eb,,,,,,F,,C,2016-09-05 00:00:00,8,APKN,URD,N,,,,,,,,,,,,,,,,,,,,False,12+
214481,d26a4e88-95dd-4fb8-b5d7-80f52cc187d5,,,,,,M,,C,2014-09-03 00:00:00,8,APKN,ENG,N,,,False,,,,,,,,,,,,,,,,,False,12+
159321,75bc5d4f-9d7c-43d5-8620-9afbfed77425,,,,,,M,,M,2016-09-05 00:00:00,6,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,12+
252154,45b9ebda-a2d0-42ba-a225-53ef21dd5ec9,,,,,,M,,C,2016-09-01 00:00:00,11,AIND,ENG,N,,,False,,,,,,,,,,,,,,,,,False,13+
176666,015edcbe-68c3-4c34-99e0-980e682df1f7,,,,,,M,,C,2014-09-03 00:00:00,14,WBRI,ENG,K,SPLD,,,,,,,,,,,,,,,,,,,False,16+
231528,6dd214ee-130c-4a0d-a5a2-c429c9b2495f,,,,,,F,,C,2013-09-02 00:00:00,10,WBRI,URD,N,,,,,,,,,,,,,,,,,,,,False,17+
88802,0bafe4f8-88bb-43ac-b5b1-29ec87ba0cd9,,,,,,M,,C,2014-09-04 00:00:00,9,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,15+
70094,9343774c-00b7-4392-b2bc-86b482e542c7,,,,,,F,,C,2013-09-05 00:00:00,9,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,10+
190998,648d82d7-2581-44a5-9561-c505413d9dcc,,,,,,F,,C,2017-09-04 00:00:00,10,WOTH,URD,N,,,,False,,,,,,,,,,,,,,,,False,17+
186606,6cb28b57-e294-45b8-874b-3e116b56c152,,,,,,F,,C,2015-09-01 00:00:00,8,WOTH,ENG,N,,,,,,,,,,,,,,,,,,,,False,13+
116027,47507588-496d-49d8-9988-c9c4b4823083,,,,,,M,,C,2013-09-05 00:00:00,11,AIND,ENG,K,,SLCN,False,False,,,,,,,,,,,,,,,,False,15+
174396,c3e12209-22f8-48e0-8871-dc1175981e67,,,,,,F,,C,2014-09-01 00:00:00,8,APKN,POL,N,,,,,,,,,,,,,,,,,,,,False,13+
206520,2bb68f87-697d-4ea1-af44-e953ba92fca1,,,,,,F,,C,2013-09-05 00:00:00,10,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,14+
162915,e20a22ca-b61c-4e2c-a4e4-22cf32b6747b,,,,,,M,,C,2011-09-07 00:00:00,8,MOTH,URD,N,,,,,,,,,,,,,,,,,,,,False,11+
216363,15536948-7c81-4e71-b184-967a9f5a577d,,,,,,F,,C,2011-09-07 00:00:00,11,WBRI,ENG,N,,SLCN,False,,,,,,,,,,,,,,,,,True,13+
235326,868dedf8-1eae-404b-b494-135764f2e384,,,,,,F,,C,2012-09-06 00:00:00,12,WBRI,URD,N,SPLD,,,,,,,,,,,,,,,,,,,False,17+
113264,0bebbdc0-1abd-47f8-890b-cf50c911b1dd,,,,,,M,,C,2013-09-03 00:00:00,9,APKN,URD,N,,,,,,,,,,,,,,,,,,,,False,14+
183820,675d19ae-a9e7-4465-ac8f-faac10785a15,,,,,,F,,C,2014-06-02 00:00:00,8,WBRI,ENG,N,,,,True,,,,,,,,,,,,,,,,False,14+
187794,9fc0b3f4-740f-487f-9730-85779485864d,,,,,,F,,C,2015-09-03 00:00:00,8,WBRI,ENG,N,,,False,,,,,,,,,,,,,,,,,False,10+
200727,19dfdd51-ee1b-46c1-a69a-08964fbe44ab,,,,,,M,,C,2015-09-03 00:00:00,13,WOTH,ENG,N,,,False,,,,,,,,,,,,,,,,,False,14+
171035,e303f512-a819-4c8e-9eeb-2ebf0e2b2a19,,,,,,F,,C,2016-04-18 00:00:00,9,APKN,ARAA,N,,,,,,,,,,,,,,,,,,,,False,10+
140034,bf86fde2-4b15-4bdc-bbb3-2e905eefd7e7,,,,,,M,,C,2016-09-01 00:00:00,6,MOTH,URD,N,,,False,False,,,,,,,,,,,,,,,,False,18+
201584,54a4deb8-7621-42df-a735-510e51857a8d,,,,,,M,,C,2016-09-05 00:00:00,8,AIND,ENG,N,,SLCN,,,,,,,,,,,,,,,,,,False,14+
133838,11cc29e1-b7fd-4709-8e10-8fc5a64ea7da,,,,,,M,,C,2016-09-05 00:00:00,10,WBRI,URD,N,,SLCN,False,False,,,,,,,,,,,,,,,,False,12+
197105,684cca8d-3f98-48b5-b91a-6c4eabfeebe2,,,,,,M,,C,2015-09-04 00:00:00,7,APKN,ENG,N,,,False,False,,,,,,,,,,,,,,,,False,12+
146810,643e84b8-849b-4c22-9691-d9bab9a4c42c,,,,,,F,,C,2016-09-05 00:00:00,9,WBRI,ENG,K,SPLD,,,,,,,,,,,,,,,,,,,False,13+
174278,b235a9b5-69b1-492c-ba11-b6338e2f62da,,,,,,F,,C,2011-09-07 00:00:00,9,APKN,URD,K,SPLD,,,False,,,,,,,,,,,,,,,,False,11+
214429,3d23be31-581b-4ac7-aa03-ba7fd178ad7b,,,,,,M,,C,2016-09-05 00:00:00,11,WOTH,ENG,N,,,,False,,,,,,,,,,,,,,,,False,11+
161530,075e66b8-e9d6-4b6a-a4fe-d2cfea4be990,,,,,,F,,C,2011-09-07 00:00:00,6,APKN,URD,N,,,,,,,,,,,,,,,,,,,,True,11+
137368,5bce50bd-a2c7-48b9-8470-830a021ca132,,,,,,M,,C,2011-09-05 00:00:00,7,APKN,ENG,K,SPLD,,,,,,,,,,,,,,,,,,,False,11+
110518,4c64b6ac-20ad-4fea-baa6-45dcd07cc97d,,,,,,M,,C,2013-09-03 00:00:00,7,APKN,ENG,N,,,False,False,,,,,,,,,,,,,,,,False,11+
189923,ca2c947e-5d0d-4040-a441-5f21825cdf56,,,,,,F,,C,2017-09-04 00:00:00,6,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,12+
166817,ba5a4251-197c-44e3-a794-c62a659c92eb,,,,,,F,,C,2017-09-25 00:00:00,8,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,14+
229632,86c450d3-e2f1-46d4-93ed-cde3644468d8,,,,,,F,,C,2015-09-01 00:00:00,12,MWAS,ENG,N,SPLD,,,,,,,,,,,,,,,,,,,False,14+
192012,7aebf26d-8607-47d0-afc2-16890b5b0f5a,,,,,,F,,C,2017-09-18 00:00:00,8,BAFR,URD,N,SPLD,SLCN,False,False,,,,,,,,,,,,,,,,False,11+
198657,8075036f-66b5-4193-9f0f-c6f3844427b8,,,,,,F,,C,2013-09-05 00:00:00,12,WBRI,ENG,N,SPLD,,,False,,,,,,,,,,,,,,,,False,10+
159278,908a456b-41a6-49f4-b32d-e117be29e75c,,,,,,M,,C,2017-09-06 00:00:00,8,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,12+
168078,1996daba-6068-48aa-848a-0d0c6ed5827d,,,,,,M,,C,2016-09-05 00:00:00,8,WBRI,ENG,K,,,,,,,,,,,,,,,,,,,,False,11+
109449,e3a4aa28-6608-4505-8d13-8a98d140ca78,,,,,,M,,C,2015-02-23 00:00:00,8,WBRI,URD,N,,,,,,,,,,,,,,,,,,,,False,11+
183499,93fc234c-53ca-4de2-8401-457778a79900,,,,,,F,,C,2017-09-06 00:00:00,10,APKN,URD,N,,,,,,,,,,,,,,,,,,,,False,14+
174474,4bced749-7cd4-43b8-b526-6ff37ad9d93c,,,,,,F,,C,2013-09-04 00:00:00,9,MWBA,ENG,N,,,,,,,,,,,,,,,,,,,,False,16+
131101,4d1d4ab0-9fbf-40e5-828d-0a280aa8bde1,,,,,,F,,C,2014-09-04 00:00:00,8,MWBA,URD,N,,,,,,,,,,,,,,,,,,,,False,14+
193598,3b881d70-e921-4e2a-805b-7bcf263377bd,,,,,,F,,C,2014-09-01 00:00:00,9,APKN,ENG,N,,MLD,False,False,,,,,,,,,,,,,,,,False,14+
169688,1db94c6c-5310-4946-8dff-4ae40a4f58fc,,,,,,F,,C,2014-09-05 00:00:00,8,AIND,URD,N,SPLD,,False,False,,,,,,,,,,,,,,,,False,12+
134601,3244c6ff-1664-4ea7-be9f-7d236caea226,,,,,,F,,C,2015-02-24 00:00:00,6,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,16+
221309,feb55874-93b8-46d3-b787-e6edd76bbfa4,,,,,,F,,C,2013-09-05 00:00:00,6,AOTH,ENG,N,,,,,,,,,,,,,,,,,,,,False,15+
126216,41230b65-67f9-4de1-a9c7-f4a2001b61da,,,,,,M,,C,2014-09-04 00:00:00,7,WBRI,ENG,K,,SLCN,True,True,,,,,,,,,,,,,,,,False,13+
153413,583749e5-1c94-4948-b6d7-7b42ee48eae6,,,,,,F,,M,2015-09-04 00:00:00,9,WBRI,URD,K,,,,False,,,,,,,,,,,,,,,,False,11+
135942,71d40a0b-3beb-4a65-8204-e136b6c0bb0a,,,,,,F,,M,2017-09-04 00:00:00,11,AIND,URD,K,SPLD,,False,,,,,,,,,,,,,,,,,False,14+
179890,14b4b731-4bad-4ab7-ad60-a0a64df3638a,,,,,,F,,C,2015-09-01 00:00:00,10,CHNE,ENG,N,,SLCN,True,,,,,,,,,,,,,,,,,False,14+
125174,724c31fa-6180-4aa7-b30f-fb544df50fa8,,,,,,M,,C,2014-09-01 00:00:00,6,WBRI,URD,N,SPLD,SLCN,,,,,,,,,,,,,,,,,,False,10+
181035,45515ef7-5a55-4146-8a7e-cee5ac85f24c,,,,,,M,,C,2017-09-04 00:00:00,7,BAFR,BUL,N,,,,False,,,,,,,,,,,,,,,,False,12+
159347,226cc86b-9f2c-4842-b045-7c9b1dc13794,,,,,,M,,C,2012-09-01 00:00:00,8,WBRI,ENG,N,SPLD,,False,False,,,,,,,,,,,,,,,,False,13+
93396,4c442d62-296c-4d40-b7da-aca458aceda1,,,,,,M,,C,2016-09-05 00:00:00,7,WOTH,ENG,K,SPLD,SLCN,False,False,,,,,,,,,,,,,,,,False,11+
166255,a45ab978-8afa-4ab6-8bcb-86ce4d43e737,,,,,,F,,C,2011-09-05 00:00:00,9,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,15+
155958,a74139c4-cc9c-4af6-8e00-1127a1e24f28,,,,,,M,,C,2012-09-06 00:00:00,12,WBRI,URD,N,,SLCN,False,,,,,,,,,,,,,,,,,False,15+
156753,8698b5e5-ba50-469b-a296-dcdcfc486774,,,,,,M,,M,2013-09-05 00:00:00,9,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,11+
190637,fcc9350d-0eb8-4c08-b859-7e2afdc00b38,,,,,,F,,C,2011-09-07 00:00:00,11,WBRI,URD,N,,,,,,,,,,,,,,,,,,,,False,13+
151261,175f5e87-5cc0-41fc-bb56-4e1aecb7a219,,,,,,F,,C,2012-09-05 00:00:00,7,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,15+
222493,b8331a1b-73f2-411a-9f95-43d3398459bc,,,,,,M,,C,2014-09-04 00:00:00,11,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,15+
207604,758e6b22-755b-4784-b0b9-eb30fd088c79,,,,,,F,,C,2014-09-04 00:00:00,12,WBRI,BNG,N,,,,,,,,,,,,,,,,,,,,False,17+
94937,fc95b7e9-1838-42cc-9a7a-e824e8f0f094,,,,,,F,,C,2017-09-04 00:00:00,8,AIND,ENG,K,,,,,,,,,,,,,,,,,,,,False,12+
273476,5dcc4e93-6fa0-4afb-9161-3f20b63f6ca8,,,,,,M,,C,2013-09-03 00:00:00,11,WBRI,ENG,N,,,False,False,,,,,,,,,,,,,,,,False,14+
193414,899ee7fd-03a7-4437-9088-3d79743586e4,,,,,,F,,C,2012-09-06 00:00:00,10,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,15+
111544,20bd5139-154a-46f1-b301-af7a65340051,,,,,,M,,M,2015-09-01 00:00:00,6,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,12+
201384,d9a42b5e-58a4-4976-ad13-5210eb181416,,,,,,M,,C,2015-09-04 00:00:00,8,MWBC,ENG,N,,,,,,,,,,,,,,,,,,,,False,10+
152746,68b4c315-4ddd-4d2f-b34c-c087a4a1a9c6,,,,,,F,,C,2011-09-05 00:00:00,9,APKN,ENG,K,SPLD,,False,False,,,,,,,,,,,,,,,,False,11+
182089,9ba1c278-7b1b-4455-ad2a-b7a749bba404,,,,,,M,,C,2011-09-06 00:00:00,13,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,16+
165443,72680229-60bc-40de-b703-7534951549b2,,,,,,F,,C,2012-09-06 00:00:00,7,AIND,ENG,N,,,False,False,,,,,,,,,,,,,,,,False,11+
235749,8cfa7912-2690-41b4-aa15-10341eebd058,,,,,,M,,C,2016-09-05 00:00:00,7,AIND,URD,N,,,,,,,,,,,,,,,,,,,,False,12+
229002,6c5968af-dbeb-4536-a4b3-406104a24e44,,,,,,F,,C,2014-09-01 00:00:00,11,MOTH,URD,N,SPLD,,False,False,,,,,,,,,,,,,,,,False,14+
158355,05b72754-e49f-4dd8-afd3-3267ad5cc9e3,,,,,,F,,M,2017-09-01 00:00:00,7,APKN,URD,N,,SLCN,,,,,,,,,,,,,,,,,,False,14+
152818,9ee4d974-a3c0-42cc-abbb-160b0334fea9,,,,,,F,,C,2016-09-05 00:00:00,11,WBRI,ENG,K,SPLD,,,False,,,,,,,,,,,,,,,,False,14+
271754,444b70d6-aa3a-4526-b0dd-36d4d70bb2dc,,,,,,F,,C,2011-09-07 00:00:00,10,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,14+
182576,93f576f0-5015-4008-88cd-ee3ae32b243e,,,,,,F,,C,2015-09-02 00:00:00,8,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,True,15+
187569,14e5def1-a0e9-4c92-a52e-226835c13858,,,,,,M,,C,2013-09-04 00:00:00,12,WBRI,ARA,N,,,,,,,,,,,,,,,,,,,,False,17+
208981,909049b9-d809-4626-8dc4-bb952d7c0751,,,,,,M,,C,2013-09-05 00:00:00,9,WBRI,ENG,N,,,False,,,,,,,,,,,,,,,,,True,11+
36101,d7ea7c9d-4fbb-489d-b620-83a98d7d38ac,,,,,,F,,C,2016-09-05 00:00:00,6,WROM,ENG,N,,,,True,,,,,,,,,,,,,,,,False,12+
189238,47b1bc35-7999-4387-86a8-6a9ab86cb39d,,,,,,M,,C,2013-09-01 00:00:00,10,WBRI,ENG,N,,,False,,,,,,,,,,,,,,,,,False,12+
152093,dbe87b8d-a5d5-4377-9a38-0ac5a11e7238,,,,,,M,,C,2016-09-01 00:00:00,8,APKN,ARAM,N,,,,,,,,,,,,,,,,,,,,False,10+
148843,fc6ccedf-899d-43c9-ad46-70186a5d8f06,,,,,,M,,C,2013-09-05 00:00:00,7,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,10+
189492,18b985cd-42c4-4469-882e-c508eb13cffc,,,,,,M,,C,2015-12-14 00:00:00,8,WOTH,ENG,N,,,False,,,,,,,,,,,,,,,,,False,15+
195208,47bb8ca4-45d8-43c7-9d90-eb6579d886b2,,,,,,F,,C,2011-09-07 00:00:00,11,WBRI,URD,N,,,,,,,,,,,,,,,,,,,,False,11+
137711,e1b40838-8097-42bc-9645-6ab92c497905,,,,,,F,,M,2014-09-04 00:00:00,11,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,11+
150113,691a0a83-b867-4976-9695-9b5438dcb242,,,,,,F,,C,2014-09-04 00:00:00,11,APKN,PNJM,N,,,,,,,,,,,,,,,,,,,,False,16+
120297,85964de2-70fd-4c19-bc03-cf4d78e1eda5,,,,,,M,,C,2016-09-01 00:00:00,6,WOTH,ENG,N,,,,,,,,,,,,,,,,,,,,False,12+
170949,f54f6bf6-023e-42f8-a65b-6395ddc686ca,,,,,,F,,C,2011-01-26 00:00:00,7,WBRI,URD,N,,,,,,,,,,,,,,,,,,,,False,11+
190272,e85ea71a-3318-4e33-8a92-b4cd58c5d0f4,,,,,,F,,C,2016-09-05 00:00:00,10,AIND,URD,N,,,False,False,,,,,,,,,,,,,,,,False,11+
184421,d89ee95f-7c09-4dea-9d5b-67084cf47e6c,,,,,,F,,C,2011-04-27 00:00:00,10,WROM,URD,N,,,,,,,,,,,,,,,,,,,,False,13+
91178,8091cc14-86b7-4fd7-9049-4ae1e58b8112,,,,,,M,,C,2011-09-01 00:00:00,7,WOTH,ENG,K,ASD,,,False,,,,,,,,,,,,,,,,False,10+
118708,fc34fe5e-2d52-47f6-96b9-28cff1384408,,,,,,F,,C,2014-09-04 00:00:00,9,WBRI,PAT,N,,,,,,,,,,,,,,,,,,,,False,11+
206661,d4f748cd-991b-4b85-b683-6b3cd5949e1c,,,,,,M,,C,2015-09-02 00:00:00,11,WOTH,ENG,N,,SLCN,False,False,,,,,,,,,,,,,,,,False,13+
182991,d2887b7c-5733-49fc-94a3-0fa2a0ef92cb,,,,,,M,,C,2016-09-02 00:00:00,7,WBRI,ENG,K,ASD,SLCN,False,,,,,,,,,,,,,,,,,False,12+
199185,36a90237-5195-419a-a3dc-6ffbace70c13,,,,,,M,,M,2010-09-02 00:00:00,11,APKN,POL,K,SEMH,,True,,,,,,,,,,,,,,,,,False,16+
125785,fa60d4e2-cfc6-4412-aa3d-36db4e81eba6,,,,,,F,,C,2011-09-07 00:00:00,10,AOTH,URD,N,,,,False,,,,,,,,,,,,,,,,False,16+
207145,72b8b0ae-c5cf-4176-84cc-9462e257a06a,,,,,,M,,C,2014-09-01 00:00:00,7,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,11+
82746,2da614a5-3fc1-4a8a-976e-9b1362ab92e2,,,,,,M,,C,2016-09-05 00:00:00,6,WBRI,URD,K,,,,,,,,,,,,,,,,,,,,False,14+
228930,63801041-bc02-494d-b3db-4aba47bde04f,,,,,,M,,C,2014-09-04 00:00:00,10,APKN,SPA,N,,,,,,,,,,,,,,,,,,,,False,12+
168643,edf91dbd-aea0-44a9-8f10-340af1005708,,,,,,M,,C,2014-09-01 00:00:00,7,CHNE,URD,N,,,,,,,,,,,,,,,,,,,,False,15+
157652,bfd568d6-0beb-4f9d-a960-f3732ca4c249,,,,,,M,,C,2015-09-03 00:00:00,8,MWAS,URD,N,,,False,,,,,,,,,,,,,,,,,False,12+
155617,c0aa9d78-2602-4002-bfc5-15d9349a740f,,,,,,M,,C,2013-09-03 00:00:00,7,CHNE,ENG,N,,,,,,,,,,,,,,,,,,,,True,14+
140296,ff20d2ae-067f-45ca-a828-329aa60b3a69,,,,,,F,,C,2016-09-05 00:00:00,7,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,11+
180675,b27fc3a6-c3fb-46a5-a559-e4ed06482268,,,,,,M,,C,2016-09-06 00:00:00,8,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,10+
150396,810e9b24-dbef-4390-9dbf-7326d3e26b10,,,,,,M,,M,2013-09-03 00:00:00,10,WBRI,URD,N,,SLCN,,,,,,,,,,,,,,,,,,False,13+
147425,0d13c7b3-775a-435f-9ed4-02e832cc7f3e,,,,,,F,,C,2013-09-04 00:00:00,6,AOTH,ENG,K,,,,False,,,,,,,,,,,,,,,,False,12+
